example_id,query_idx,query_type,doc_idx,n_docs,doc_position,doc_len,attention_mass,attention_mass_ratio,attention_density
0,17,unrelated,7,10,0.7777777777777778,301,0.22331614792346954,0.22331614792346954,0.0007419141127025566
0,17,unrelated,8,10,0.8888888888888888,84,0.11495501548051834,0.11495501548051834,0.0013685120890537898
0,17,unrelated,9,10,1.0,83,0.25826916098594666,0.25826916098594666,0.0031116766383848995
0,18,unrelated,0,10,0.0,50,0.02818121388554573,0.028181215565277074,0.0005636242777109146
0,18,unrelated,1,10,0.1111111111111111,92,0.03738516941666603,0.037385171644995906,0.00040636053713767427
0,18,unrelated,2,10,0.2222222222222222,76,0.04132619872689247,0.04132620119012601,0.0005437657727222694
0,18,unrelated,3,10,0.3333333333333333,98,0.057911891490221024,0.05791189494203895,0.0005909376682675614
0,18,unrelated,4,10,0.4444444444444444,52,0.03138810768723488,0.031388109558112,0.0006036174555237477
0,18,unrelated,5,10,0.5555555555555556,214,0.12580585479736328,0.125805862295977,0.0005878778261559032
0,18,unrelated,6,10,0.6666666666666666,121,0.0874813124537468,0.08748131766803965,0.0007229860533367504
0,18,unrelated,7,10,0.7777777777777778,301,0.2191435992717743,0.21914361233375146,0.0007280518248231704
0,18,unrelated,8,10,0.8888888888888888,84,0.11439944058656693,0.11439944740530535,0.0013618981022210349
0,18,unrelated,9,10,1.0,83,0.2569771409034729,0.256977156220505,0.0030961101313671433
0,19,unrelated,0,10,0.0,50,0.02967563085258007,0.02967563085258007,0.0005935126170516014
0,19,unrelated,1,10,0.1111111111111111,92,0.03841524198651314,0.03841524198651314,0.00041755697811427325
0,19,unrelated,2,10,0.2222222222222222,76,0.04255349561572075,0.04255349561572075,0.0005599144159963256
0,19,unrelated,3,10,0.3333333333333333,98,0.06036599352955818,0.06036599352955818,0.0006159795258118181
0,19,unrelated,4,10,0.4444444444444444,52,0.03004499338567257,0.03004499338567257,0.0005777883343398571
0,19,unrelated,5,10,0.5555555555555556,214,0.12903761863708496,0.12903761863708496,0.0006029795263415186
0,19,unrelated,6,10,0.6666666666666666,121,0.08324384689331055,0.08324384689331055,0.0006879656768042193
0,19,unrelated,7,10,0.7777777777777778,301,0.22463808953762054,0.22463808953762054,0.0007463059453077094
0,19,unrelated,8,10,0.8888888888888888,84,0.11168491095304489,0.11168491095304489,0.0013295822732505343
0,19,unrelated,9,10,1.0,83,0.25034013390541077,0.25034013390541077,0.003016146191631455
0,20,unrelated,0,10,0.0,50,0.029216310009360313,0.029216310009360313,0.0005843262001872063
0,20,unrelated,1,10,0.1111111111111111,92,0.037568721920251846,0.037568721920251846,0.0004083556730462157
0,20,unrelated,2,10,0.2222222222222222,76,0.0410810261964798,0.0410810261964798,0.0005405398183747342
0,20,unrelated,3,10,0.3333333333333333,98,0.057953521609306335,0.057953521609306335,0.0005913624654010851
0,20,unrelated,4,10,0.4444444444444444,52,0.030185997486114502,0.030185997486114502,0.0005804999516560481
0,20,unrelated,5,10,0.5555555555555556,214,0.1238253191113472,0.1238253191113472,0.0005786229865016225
0,20,unrelated,6,10,0.6666666666666666,121,0.0842379629611969,0.0842379629611969,0.0006961815120760074
0,20,unrelated,7,10,0.7777777777777778,301,0.22758910059928894,0.22758910059928894,0.0007561099687684018
0,20,unrelated,8,10,0.8888888888888888,84,0.10934144258499146,0.10934144258499146,0.0013016838402975174
0,20,unrelated,9,10,1.0,83,0.25900065898895264,0.25900065898895264,0.003120489867336779
0,21,unrelated,0,10,0.0,50,0.02976219728589058,0.02976219728589058,0.0005952439457178115
0,21,unrelated,1,10,0.1111111111111111,92,0.03813255578279495,0.03813255578279495,0.00041448430198690164
0,21,unrelated,2,10,0.2222222222222222,76,0.041978467255830765,0.041978467255830765,0.0005523482533661943
0,21,unrelated,3,10,0.3333333333333333,98,0.05850168317556381,0.05850168317556381,0.0005969559507710594
0,21,unrelated,4,10,0.4444444444444444,52,0.029397984966635704,0.029397984966635704,0.0005653458647429943
0,21,unrelated,5,10,0.5555555555555556,214,0.12499858438968658,0.12499858438968658,0.0005841055345312457
0,21,unrelated,6,10,0.6666666666666666,121,0.08631142973899841,0.08631142973899841,0.0007133176011487472
0,21,unrelated,7,10,0.7777777777777778,301,0.2224859595298767,0.2224859595298767,0.0007391560117271652
0,21,unrelated,8,10,0.8888888888888888,84,0.11067885160446167,0.11067885160446167,0.0013176053762435913
0,21,unrelated,9,10,1.0,83,0.25775232911109924,0.25775232911109924,0.003105449748326497
0,22,unrelated,0,10,0.0,50,0.030009835958480835,0.030009835958480835,0.0006001967191696167
0,22,unrelated,1,10,0.1111111111111111,92,0.035098813474178314,0.035098813474178314,0.00038150884211063385
0,22,unrelated,2,10,0.2222222222222222,76,0.04098375886678696,0.04098375886678696,0.0005392599850893021
0,22,unrelated,3,10,0.3333333333333333,98,0.05926740914583206,0.05926740914583206,0.000604769481079919
0,22,unrelated,4,10,0.4444444444444444,52,0.030622970312833786,0.030622970312833786,0.0005889032752468035
0,22,unrelated,5,10,0.5555555555555556,214,0.12525644898414612,0.12525644898414612,0.0005853105092717109
0,22,unrelated,6,10,0.6666666666666666,121,0.08418073505163193,0.08418073505163193,0.0006957085541457184
0,22,unrelated,7,10,0.7777777777777778,301,0.22688396275043488,0.22688396275043488,0.0007537673181077571
0,22,unrelated,8,10,0.8888888888888888,84,0.11415494233369827,0.11415494233369827,0.0013589874087345031
0,22,unrelated,9,10,1.0,83,0.25354114174842834,0.25354114174842834,0.0030547125511858836
0,23,unrelated,0,10,0.0,50,0.03124072588980198,0.03124072588980198,0.0006248145177960396
0,23,unrelated,1,10,0.1111111111111111,92,0.03681749850511551,0.03681749850511551,0.0004001902011425599
0,23,unrelated,2,10,0.2222222222222222,76,0.042611200362443924,0.042611200362443924,0.0005606736889795253
