example_id,rate,method,doc_token_index,relative_position,position_bin,token_id,token_text_repr,token_category,selected_times,n_queries
0,0.15,per_doc_top,529,0.45213675213675214,40-50%,11,"','",punct_or_symbol,34,34
0,0.15,per_doc_top,542,0.46324786324786327,40-50%,279,' the',latin_word,34,34
0,0.15,per_doc_top,552,0.4717948717948718,40-50%,279,' the',latin_word,34,34
0,0.15,per_doc_top,560,0.47863247863247865,40-50%,13,'.',punct_or_symbol,34,34
0,0.15,per_doc_top,566,0.48376068376068376,40-50%,279,' the',latin_word,34,34
0,0.15,per_doc_top,573,0.4897435897435897,40-50%,11,"','",punct_or_symbol,34,34
0,0.15,per_doc_top,581,0.4965811965811966,40-50%,624,'.\n',punct_or_symbol,34,34
0,0.15,per_doc_top,632,0.5401709401709401,50-60%,13,'.',punct_or_symbol,34,34
0,0.15,per_doc_top,634,0.5418803418803418,50-60%,220,' ',space,34,34
0,0.15,per_doc_top,639,0.5461538461538461,50-60%,279,' the',latin_word,34,34
0,0.15,per_doc_top,652,0.5572649572649573,50-60%,30243,' reforms',latin_word,34,34
0,0.15,per_doc_top,657,0.5615384615384615,50-60%,279,' the',latin_word,34,34
0,0.15,per_doc_top,662,0.5658119658119658,50-60%,13,'.',punct_or_symbol,34,34
0,0.15,per_doc_top,690,0.5897435897435898,50-60%,13,'.',punct_or_symbol,34,34
0,0.15,per_doc_top,691,0.5905982905982906,50-60%,576,' The',latin_word,34,34
0,0.15,per_doc_top,694,0.5931623931623932,50-60%,279,' the',latin_word,34,34
0,0.15,per_doc_top,702,0.6,60-70%,624,'.\n',punct_or_symbol,34,34
0,0.15,per_doc_top,745,0.6367521367521367,60-70%,17,'2',number,34,34
0,0.15,per_doc_top,749,0.6401709401709401,60-70%,8,')',punct_or_symbol,34,34
0,0.15,per_doc_top,752,0.6427350427350428,60-70%,220,' ',space,34,34
0,0.15,per_doc_top,785,0.6709401709401709,60-70%,13,'.',punct_or_symbol,34,34
0,0.15,per_doc_top,792,0.676923076923077,60-70%,220,' ',space,34,34
0,0.15,per_doc_top,794,0.6786324786324787,60-70%,13,'.',punct_or_symbol,34,34
0,0.15,per_doc_top,837,0.7153846153846154,70-80%,8,')',punct_or_symbol,34,34
0,0.15,per_doc_top,868,0.7418803418803419,70-80%,608,' /',punct_or_symbol,34,34
0,0.15,per_doc_top,881,0.752991452991453,70-80%,220,' ',space,34,34
0,0.15,per_doc_top,902,0.770940170940171,70-80%,26,';',punct_or_symbol,34,34
0,0.15,per_doc_top,912,0.7794871794871795,70-80%,25,':',punct_or_symbol,34,34
0,0.15,per_doc_top,931,0.7957264957264957,70-80%,18,'3',number,34,34
0,0.15,per_doc_top,937,0.8008547008547009,80-90%,18,'3',number,34,34
0,0.15,per_doc_top,943,0.805982905982906,80-90%,220,' ',space,34,34
0,0.15,per_doc_top,954,0.8153846153846154,80-90%,220,' ',space,34,34
0,0.15,per_doc_top,975,0.8333333333333334,80-90%,26,';',punct_or_symbol,34,34
0,0.15,per_doc_top,984,0.841025641025641,80-90%,17287,' Length',latin_word,34,34
0,0.15,per_doc_top,985,0.8418803418803419,80-90%,220,' ',space,34,34
0,0.15,per_doc_top,995,0.8504273504273504,80-90%,8,')',punct_or_symbol,34,34
0,0.15,per_doc_top,998,0.852991452991453,80-90%,279,' the',latin_word,34,34
0,0.15,per_doc_top,1003,0.8572649572649572,80-90%,198,'\n',newline_or_space,34,34
0,0.15,per_doc_top,1010,0.8632478632478633,80-90%,264,' a',latin_word,34,34
0,0.15,per_doc_top,1047,0.8948717948717949,80-90%,11,"','",punct_or_symbol,34,34
0,0.15,per_doc_top,1062,0.9076923076923077,90-100%,279,' the',latin_word,34,34
0,0.15,per_doc_top,1077,0.9205128205128205,90-100%,11,"','",punct_or_symbol,34,34
0,0.15,per_doc_top,1081,0.923931623931624,90-100%,279,' the',latin_word,34,34
0,0.15,per_doc_top,1087,0.9290598290598291,90-100%,624,'.\n',punct_or_symbol,34,34
0,0.15,per_doc_top,1143,0.9769230769230769,90-100%,279,' the',latin_word,34,34
0,0.15,per_doc_top,1147,0.9803418803418803,90-100%,279,' the',latin_word,34,34
0,0.15,per_doc_top,1150,0.9829059829059829,90-100%,279,' the',latin_word,34,34
0,0.15,per_doc_top,1154,0.9863247863247864,90-100%,11,"','",punct_or_symbol,34,34
0,0.15,per_doc_top,1161,0.9923076923076923,90-100%,279,' the',latin_word,34,34
0,0.15,per_doc_top,1166,0.9965811965811966,90-100%,279,' the',latin_word,34,34
0,0.15,per_doc_top,1169,0.9991452991452991,90-100%,4014,'wards',latin_word,34,34
0,0.15,per_doc_top,1170,1.0,90-100%,624,'.\n',punct_or_symbol,34,34
0,0.3,global_top,5,0.004273504273504274,00-10%,220,' ',space,34,34
0,0.3,global_top,11,0.009401709401709401,00-10%,279,' the',latin_word,34,34
0,0.3,global_top,18,0.015384615384615385,00-10%,13,'.',punct_or_symbol,34,34
0,0.3,global_top,164,0.14017094017094017,10-20%,11,"','",punct_or_symbol,34,34
0,0.3,global_top,166,0.14188034188034188,10-20%,279,' the',latin_word,34,34
0,0.3,global_top,180,0.15384615384615385,10-20%,13,'.',punct_or_symbol,34,34
0,0.3,global_top,186,0.15897435897435896,10-20%,279,' the',latin_word,34,34
