selector,rate,example_id,sub_question_id,context_len,system_len,doc_len,query_len,selected_tokens,query_system,query_system_last_layer,query_selected_doc,query_selected_doc_last_layer,query_unselected_doc,query_unselected_doc_last_layer,query_query_or_current,query_query_or_current_last_layer,query_doc_total,query_doc_total_last_layer,query_system_first16,query_system_first16_last_layer,query_main_sum,decode_system,decode_system_last_layer,decode_selected_doc,decode_selected_doc_last_layer,decode_unselected_doc,decode_unselected_doc_last_layer,decode_query_or_current,decode_query_or_current_last_layer,decode_doc_total,decode_doc_total_last_layer,decode_system_first16,decode_system_first16_last_layer,decode_main_sum
draft,0.15,14,0,1849,792,1057,31,158,0.43207874009293734,0.08455287036807856,0.13838302971423655,0.058438349429363476,0.11429303582362864,0.11197827598466302,0.3152451951539854,0.7450305569556451,0.2526760622417558,0.1704166254140265,0.2910575042377576,0.028409984254617295,1.0000000007847878,0.3746317719318429,0.22330025264195033,0.08821795774357657,0.02882607068334307,0.16853283102415048,0.434246335710798,0.36861744948795866,0.3136273111615862,0.2567507907444117,0.46307243619646343,0.2700993086458469,0.1519643919808524,1.0000000101875286
draft,0.15,14,1,2473,792,1681,19,252,0.43932445272083054,0.09983348129387189,0.1775133499653588,0.16544755060869948,0.09474219460236398,0.14948059024667382,0.28842000700093234,0.5852383491688204,0.2722555451439223,0.31492812651440616,0.29441801302142995,0.04490782802266286,1.0000000042894857,0.3269659353762257,0.09341532843453544,0.16395308761572353,0.11069602625710624,0.074404313019952,0.33574254172188894,0.4346766678654418,0.4601461206163679,0.23835739493370056,0.44643851688929964,0.25160363427249294,0.056215686457497735,1.000000003877343
draft,0.15,15,0,1470,792,678,18,101,0.4772532137613448,0.17755640120733351,0.10675118488519372,0.08297687106662327,0.13326799937116315,0.21781558082217262,0.2827276010361929,0.521651131766183,0.24001918439151487,0.3007924518887959,0.3023253595477599,0.10591355581132192,0.9999999990538946,0.39976119691011863,0.1807096004486084,0.10704617688850482,0.10420794146401542,0.11981228784639009,0.24715644972664969,0.3733803374426706,0.467926025390625,0.22685846655952688,0.35136440822056364,0.30459926874205767,0.12467351130076818,0.999999999087684
draft,0.15,15,1,1913,792,1121,23,168,0.4363882196827494,0.14165098770805026,0.14044482430844782,0.12227067888153266,0.1145406093021992,0.1565632908981039,0.30862634014850615,0.5795150188185414,0.2549854393225385,0.27883399347340837,0.2977710307080765,0.06966698688009511,0.9999999934419026,0.32976474628156544,0.2718245301927839,0.12839444658281854,0.013502625482422965,0.08805832555707623,0.019314710583005632,0.4537824872805146,0.6953581401279995,0.21645276963102575,0.032817333936691284,0.2513379793310044,0.21054198060716903,1.000000005701975
draft,0.15,16,0,2307,792,1515,23,227,0.4410484427356466,0.10224576914532585,0.13738480625474145,0.08620942157247792,0.1298772370593148,0.1314366619039026,0.291689519027534,0.6801082066127232,0.26726204225629857,0.21764608347638054,0.2929529838045826,0.048053229077262165,1.0000000050772369,0.3839561188099337,0.10395391498293195,0.1255213379555819,0.15938925743103027,0.12469580024480818,0.21799382141658238,0.3658267332583058,0.5186630317143032,0.2502171397209167,0.3773830958775112,0.28159779438520877,0.07083197576659066,0.9999999902686296
draft,0.15,16,1,2981,792,2189,25,328,0.412692437853132,0.08220817565917969,0.1766941418939707,0.13982467651367186,0.11434736037740903,0.08974062238420759,0.2962660573453319,0.688226579938616,0.2910415026606346,0.22956529889787947,0.28982137048122836,0.04229409899030413,0.9999999974698437,0.3624502870501304,0.0780947378703526,0.18121961078473503,0.23089516162872314,0.07958366090849953,0.05536403826304844,0.37674644406960944,0.6356460707528251,0.2608032704007869,0.28625920840672087,0.2834288963895976,0.003165728545614651,1.0000000028129743
draft,0.15,17,0,2207,792,1415,23,212,0.43045519936264565,0.11793682738120512,0.14426142003754122,0.10344914027622767,0.12643991938288907,0.14445990805300127,0.29884345867830564,0.6341541361364519,0.270701338151121,0.24790904832922894,0.2856102266415835,0.06962963957223833,0.9999999974613817,0.32846120851380484,0.1011450971875872,0.1349049767061156,0.06984587226595197,0.13995318388452338,0.4248706272670201,0.3966806324160829,0.4041383607046945,0.27485816302348154,0.49471650804792133,0.24180105689684955,0.062019245965140204,1.0000000015205268
draft,0.15,17,1,2728,792,1936,25,290,0.4213125536393147,0.1208946772984096,0.17384029193800327,0.18156264168875558,0.09363834439491739,0.15305044991629466,0.3112088104170196,0.5444922746930804,0.26747863419201906,0.33461308070591517,0.2886331820001407,0.06168144226074219,1.0000000003892549,0.3582525450964364,0.10827290160315377,0.16115579221929824,0.31652913774762836,0.07712614771967032,0.2047854491642543,0.4034655112393049,0.3704125199999128,0.23828194001499484,0.5213145528520856,0.2753892965253671,0.08311472620282855,0.9999999962747099
draft,0.15,18,0,1812,792,1020,23,153,0.4537514201708356,0.1005340718334506,0.1508642732303758,0.07678793676151252,0.1080455140085906,0.12152386304014218,0.2873387973501075,0.7011541046711228,0.2589097915757728,0.1983117998016547,0.3034460719380637,0.03718231923831916,1.0000000047599094,0.37124102425818545,0.26763527733939035,0.11957225127487768,0.06584500414984566,0.15154482819596118,0.3246570995875767,0.3576418903409218,0.341862610408238,0.2711170817516288,0.39050207819257465,0.26405172715229647,0.14657865251813615,0.9999999940699462
draft,0.15,18,1,1998,792,1206,17,180,0.4645075093941385,0.13811159534614628,0.15764862263188356,0.14616329930409663,0.10114942178004933,0.1752804187165589,0.2766944390385091,0.5404446385487789,0.25879804569990844,0.32144370199251576,0.3041023790102903,0.07030001407911797,0.9999999928445805,0.357219589303951,0.11153029544012887,0.16865964933317537,0.05201328652245658,0.1018208546601996,0.5072753429412842,0.3722999059424109,0.3291810580662319,0.2704804965427943,0.559288603918893,0.26885566580090287,0.036506712436676025,0.9999999992397369
