selector,rate,example_id,sub_question_id,context_len,system_len,doc_len,query_len,selected_tokens,query_system,query_system_last_layer,query_selected_doc,query_selected_doc_last_layer,query_unselected_doc,query_unselected_doc_last_layer,query_query_or_current,query_query_or_current_last_layer,query_doc_total,query_doc_total_last_layer,query_system_first16,query_system_first16_last_layer,query_main_sum,decode_system,decode_system_last_layer,decode_selected_doc,decode_selected_doc_last_layer,decode_unselected_doc,decode_unselected_doc_last_layer,decode_query_or_current,decode_query_or_current_last_layer,decode_doc_total,decode_doc_total_last_layer,decode_system_first16,decode_system_first16_last_layer,decode_main_sum
random,0.8,14,0,1849,792,1057,31,845,0.4154351054248721,0.08572283977737075,0.2541766546524379,0.16000383790187572,0.03356664631223898,0.04384515032790223,0.2968215953369843,0.7104281939669139,0.28774330096467693,0.20384898383496544,0.2841983665519046,0.0228709471390544,1.0000000017265331,0.3473560469491141,0.17013747351510183,0.2589757561075444,0.33178322655814035,0.0478858452632415,0.1737124408994402,0.3457823632931224,0.3243668419974191,0.30686160192197687,0.5054956504276821,0.25159316150737665,0.1072404214314052,1.0000000116130223
random,0.8,14,1,2473,792,1681,19,1344,0.43464473110776713,0.09151934143295862,0.2501820362984302,0.2566841527035362,0.03658239545038512,0.03934799997430099,0.2785908330780095,0.612448441354852,0.2867644296680946,0.2960321813597715,0.29297801112770133,0.03945236636283703,0.999999995934592,0.31541608213161937,0.1840437991278512,0.25198060760692675,0.29732905115400043,0.02663461521876102,0.033421407852854045,0.40596869222971854,0.4852057525089809,0.2786152222935035,0.3307504653930664,0.24728475815654558,0.14977855341775076,0.9999999971870256
random,0.8,15,0,1470,792,678,18,542,0.4682997759777942,0.15654203626844618,0.2039869869647383,0.24739778609502883,0.05389709817984748,0.07642297139243474,0.2738161373570933,0.519637213812934,0.2578840845025856,0.3238207499186198,0.3002777482951039,0.08772713040548658,0.9999999984794733,0.39039135100890177,0.21208340781075613,0.19856467736618863,0.09723046847752162,0.06493162789515086,0.036464614527566094,0.3461123434256534,0.6542214666094098,0.2634963022202862,0.13369508300508773,0.299616174354237,0.11730512550898961,0.9999999996958946
random,0.8,15,1,1913,792,1121,23,896,0.43437631297344215,0.13399409655458439,0.2323560232384181,0.25199861704192544,0.037152990236045416,0.04026195573510591,0.2961146768046991,0.5737453010511695,0.26950901001030725,0.29226059054736025,0.29993982624986476,0.06177303953940824,1.0000000032526049,0.345793212858998,0.12331673077174596,0.2583209571181512,0.4127252442496164,0.03213440839733396,0.06302650485719953,0.3637514150872523,0.4009314945765904,0.29045536232237906,0.47575174059186665,0.26339591948353513,0.05046271000589643,0.9999999934617354
random,0.8,16,0,2307,792,1515,23,1212,0.41884213162399325,0.09208448184943348,0.2524301851335202,0.1888070195357992,0.04609651468238052,0.04117499523281311,0.2826311554439108,0.6779334974585113,0.2985267021429676,0.22998200884516934,0.2829984294146485,0.0390218000234284,0.9999999868838048,0.36298502981662756,0.073483977999006,0.22230564544395529,0.27366457666669575,0.0681099759376779,0.15529666628156388,0.3465993477373708,0.4975548131125314,0.2904156184926325,0.4289612429482596,0.2705274247279276,0.049613888774599345,0.9999999989356315
random,0.8,16,1,2981,792,2189,25,1751,0.3998001283528853,0.07678389957972935,0.2731699032686195,0.26777784075055805,0.039911050309940264,0.03408097403390067,0.28711892381006354,0.6213572910853795,0.31308095270273645,0.30185880388532366,0.2803903501496023,0.03414570672171457,1.0000000057415086,0.33892000086453505,0.07340231112071446,0.2700208836064047,0.3405994006565639,0.02853582487726698,0.04759432588304792,0.3625232899675565,0.5384039197649274,0.298556704910434,0.3881937435695103,0.26859030732409833,0.006871219192232404,0.9999999993157633
random,0.8,17,0,2207,792,1415,23,1132,0.4276487194761938,0.1100258916061117,0.24615166730973817,0.213695218104013,0.0350390248787329,0.02488987490257121,0.29116059407367045,0.651389033157633,0.2811906923735787,0.23858509893002716,0.2858591483378685,0.05494038362680755,1.0000000057383354,0.32986234645454254,0.07900748934064593,0.223893303652199,0.31024510519845144,0.06168347133361563,0.1882329327719552,0.38456088122056453,0.4225145067487444,0.2855767692838397,0.49847800391060965,0.24458141297063965,0.04552865028381348,1.0000000026609217
random,0.8,17,1,2728,792,1936,25,1548,0.41638952722354805,0.10540701729910715,0.2476005511381188,0.2512760271344866,0.036875662657679345,0.08897931780133929,0.2991342579588599,0.554337637765067,0.28447621520684696,0.3402553449358259,0.2834237005880901,0.04765408107212612,0.999999998978206,0.3494046360862499,0.059707845960344584,0.2503814037357058,0.43470638138907297,0.03351049706795994,0.12412293468202863,0.3667034731835736,0.38146281242370605,0.2838918986369152,0.5588293075561523,0.271314801087565,0.025774127670696804,1.0000000100734892
random,0.8,18,0,1812,792,1020,23,816,0.4401784027796883,0.10013740255225519,0.2496417400153633,0.18036573421881066,0.036210891702266115,0.04365208726491987,0.27396896420692907,0.6758447966960647,0.2858526340711402,0.22401783629233793,0.30010323878295037,0.04451016017368862,0.9999999987042467,0.3619435838594729,0.02225633604185922,0.2407721953124416,0.37723677498953684,0.0684155442618898,0.3173939159938267,0.3288686755968599,0.2831130027770996,0.30918774221624645,0.6946306909833636,0.275974589713602,0.0037260872444936206,0.999999999030664
random,0.8,18,1,1998,792,1206,17,964,0.4598577872616332,0.10801554126899783,0.23714621069909292,0.30054768794724923,0.03313593578939678,0.051803120044099184,0.26986006127686063,0.5396336787888983,0.2702821485993384,0.352350763913964,0.3028769674448192,0.05258810219644498,0.9999999950269836,0.42689219360448866,0.2767027105603899,0.12550452298351694,0.18361898830958776,0.025173476460028675,0.012692089591707503,0.42242980550746523,0.5269862243107387,0.15067799875930868,0.19631106512887136,0.32585848578517984,0.2230759859085083,0.9999999985554995
random,0.8,19,0,1826,792,1034,17,827,0.46059709436753205,0.15107784752084427,0.23844473158755083,0.3235661482610622,0.04080538124311156,0.059069673554236146,0.2601527832850975,0.4662863466919971,0.27925011576438435,0.3826358057871586,0.30320083620954674,0.08261557186351103,0.999999990483292,0.33483159207567875,0.11109094960348946,0.2646640435773499,0.395420960017613,0.03619060585541385,0.115019576890128,0.36431374598522576,0.37846851348876953,0.3008546528159356,0.5104405539376395,0.25282661697580194,0.05670467019081116,0.9999999874936683
random,0.8,19,1,2372,792,1580,22,1264,0.4277712471631108,0.1450264175216873,0.2492671278279434,0.2846833266221084,0.04278384812577095,0.05374638445965656,0.2801777776849071,0.5165438466257863,0.29205097294030696,0.3384297110817649,0.2915552330163614,0.0788843600780933,1.0000000008017322,0.32658274471759796,0.11112761497497559,0.23611496480143804,0.2400231191090175,0.05768707075289318,0.06716925757271903,0.3796152168390702,0.5816800253731864,0.2938020338817519,0.30719235965183805,0.2559402624658328,0.05372400368962969,0.9999999971109993
random,0.8,20,0,2311,792,1519,21,1215,0.43807828437946056,0.09724523583237006,0.24573030323514208,0.20402892755002391,0.04317916470667595,0.07903796474949844,0.27301222914277756,0.6196878653805272,0.28890947002711176,0.28306688581194195,0.3006157669717532,0.05059181265279549,0.9999999814640561,0.3654003556893796,0.1688377857208252,0.2268661941800798,0.19069785731179373,0.040318449198895566,0.09204203741891044,0.36741499450741977,0.5484223025185722,0.26718464007182996,0.28273987770080566,0.26843443290539537,0.06723179987498693,0.9999999935757748
random,0.8,20,1,3057,792,2265,36,1812,0.3865217562435436,0.06661511981298053,0.25276604044734763,0.20561536153157553,0.047568789550236294,0.0556273687453497,0.3131434147049781,0.6721421499100942,0.3003348287811625,0.26124273027692524,0.2809197607443851,0.030843424418615917,1.0000000009461054,0.32707069745781475,0.009188564760344369,0.26795006710655833,0.28238141536712646,0.057412151399315624,0.17260025228772843,0.34756708722941726,0.5358297484261649,0.3253622146285311,0.4549816676548549,0.26325545986468085,0.0032095368951559067,1.000000003193106
random,0.8,21,0,2541,792,1749,22,1399,0.42219432298239185,0.127597883150175,0.25132194565045807,0.258226270799513,0.04845178149405568,0.053003880884740256,0.2780319551811147,0.5611719899363332,0.2997737267021788,0.3112301516842532,0.283199556628052,0.06741537366594587,1.0000000053080202,0.3240501867721276,0.019399385367121016,0.263771403808983,0.26765973227364676,0.05893902704879945,0.11718335321971349,0.3532393757177859,0.5957574844360352,0.3227104386504816,0.38484307697841097,0.24233340439671766,0.012910118060452598,0.999999993347696
