load_kv,kind,layer,records,cosine,relative_l2,oracle_alpha,oracle_relative_l2,sparse_to_dense_norm
raw,V,40,5,0.41818485918130366,1.633855104128884,0.23543196699446847,0.9083619452352203,1.776245021098299
raw,V,41,5,0.4468482471234073,1.5907201120852792,0.2535806907906024,0.8946097719356403,1.7621540730496634
raw,V,42,5,0.47185267219414,1.4543561215528906,0.2897514502372493,0.881677410248924,1.628473893082453
raw,V,43,5,0.4776114013813312,1.4202397566850844,0.2997276962886041,0.8785711976103934,1.5934843769707723
raw,V,44,5,0.45692057620162657,1.4393597357805736,0.2876397634388908,0.889507496901276,1.588516729185461
raw,V,45,5,0.4583646697775878,1.4740198581336406,0.2804663953565772,0.8887642147947243,1.634294437288416
raw,V,46,5,0.4615480013485457,1.4470471558798421,0.2876106821988695,0.8871152362862239,1.604766546985924
raw,V,47,5,0.4540991300339876,1.4131265944667166,0.29278540000365266,0.8909511659470319,1.550962343164388
raw,V,48,5,0.4375585539413953,1.470606675687591,0.2732652369724532,0.8991899198015484,1.6012228953421686
raw,V,49,5,0.4728071482232314,1.3957999167037405,0.30399841439245384,0.8811659324945644,1.5552947839157147
raw,V,5,5,0.9301279548277012,0.37325237706546127,0.9331406535899824,0.36723560236997427,0.9967714419571253
raw,V,50,5,0.47748535114603013,1.3830057185928328,0.3089505197244315,0.878639709688193,1.5455075187182834
raw,V,51,5,0.4797347240437311,1.369925497953973,0.3131864995169737,0.8774135823810144,1.5317860916215231
raw,V,52,5,0.4626031803733142,1.4243072374381127,0.2932816621729242,0.8865654502113733,1.5773341467921542
raw,V,53,5,0.4902856306468866,1.3509530389237834,0.32203037269595564,0.8715618167297055,1.5224825737471317
raw,V,54,5,0.47619311369977324,1.3894127572702875,0.30683975342952163,0.879340729447303,1.5519277029048666
raw,V,55,5,0.4691160846033776,1.3668207846219094,0.3101993769485441,0.8831365121918563,1.5123050510871743
raw,V,56,5,0.47540471958264785,1.3512941637882143,0.31671171521181235,0.8797672150055058,1.5010645225570638
raw,V,57,5,0.464416252475671,1.357238044176233,0.31108626630577163,0.8856170416361995,1.4928857451366526
raw,V,58,5,0.46795985335597623,1.3423447033606015,0.31654587167377995,0.8837497245527454,1.4783318792994329
