dataset,example_idx,method,doc_tokens,pearson_z,pearson_minmax,spearman_rank,rate,k,topk_overlap,topk_jaccard,ndcg_at_k
musique-v2,2,offline3b_top2_mean,16811,0.2915177215843562,0.29151772158435624,0.23561143527697492,0.1,1681,0.3242117787031529,0.19346822861199858,0.4357455480143174
musique-v2,2,offline3b_top2_mean,16811,0.2915177215843562,0.29151772158435624,0.23561143527697492,0.15,2522,0.33980967486122127,0.20468115595892047,0.45568277057485324
musique-v2,2,offline3b_top2_mean,16811,0.2915177215843562,0.29151772158435624,0.23561143527697492,0.3,5043,0.44854253420582985,0.28911042944785276,0.5257492430260831
musique-v2,2,offline3b_freq_top15,16811,0.25520326520848,0.2552032652084799,0.2706946105247057,0.05,841,0.29369797859690844,0.17212543554006968,0.33411248261293963
musique-v2,2,offline3b_freq_top15,16811,0.25520326520848,0.2552032652084799,0.2706946105247057,0.1,1681,0.3319452706722189,0.19900142653352354,0.3959782722918077
musique-v2,2,offline3b_freq_top15,16811,0.25520326520848,0.2552032652084799,0.2706946105247057,0.15,2522,0.3501189532117367,0.2122086037010334,0.4104349358596365
musique-v2,2,offline3b_freq_top15,16811,0.25520326520848,0.2552032652084799,0.2706946105247057,0.3,5043,0.43386872893119177,0.27703216004051656,0.5020063724679031
musique-v2,3,offline3b_mean,17100,0.24568621315715622,0.2456862131571563,0.2908872993412024,0.05,855,0.2912280701754386,0.1704312114989733,0.37853764081873775
musique-v2,3,offline3b_mean,17100,0.24568621315715622,0.2456862131571563,0.2908872993412024,0.1,1710,0.33976608187134505,0.20464952448045087,0.42603775675720806
musique-v2,3,offline3b_mean,17100,0.24568621315715622,0.2456862131571563,0.2908872993412024,0.15,2565,0.38635477582846006,0.2394298139647258,0.46988451913305507
musique-v2,3,offline3b_mean,17100,0.24568621315715622,0.2456862131571563,0.2908872993412024,0.3,5130,0.46900584795321637,0.306340718105424,0.5387473542993673
musique-v2,3,offline3b_top2_mean,17100,0.2585369910633339,0.2585369910633338,0.2808600254082691,0.05,855,0.2818713450292398,0.1640571817562968,0.36831539830671634
musique-v2,3,offline3b_top2_mean,17100,0.2585369910633339,0.2585369910633338,0.2808600254082691,0.1,1710,0.32514619883040935,0.1941340782122905,0.4154167140442164
musique-v2,3,offline3b_top2_mean,17100,0.2585369910633339,0.2585369910633338,0.2808600254082691,0.15,2565,0.37660818713450295,0.23198847262247838,0.4588240842735966
musique-v2,3,offline3b_top2_mean,17100,0.2585369910633339,0.2585369910633338,0.2808600254082691,0.3,5130,0.4635477582846004,0.30170007612281147,0.5356134002751765
musique-v2,3,offline3b_freq_top15,17100,0.25393153658637085,0.2539315365863709,0.26182115153883345,0.05,855,0.19181286549707602,0.10608020698576973,0.23651255212618266
musique-v2,3,offline3b_freq_top15,17100,0.25393153658637085,0.2539315365863709,0.26182115153883345,0.1,1710,0.3485380116959064,0.21104815864022664,0.40020072966897313
musique-v2,3,offline3b_freq_top15,17100,0.25393153658637085,0.2539315365863709,0.26182115153883345,0.15,2565,0.38908382066276803,0.2415295256534366,0.4431825706513612
musique-v2,3,offline3b_freq_top15,17100,0.25393153658637085,0.2539315365863709,0.26182115153883345,0.3,5130,0.43430799220272903,0.27739043824701193,0.4977528172016713
musique-v2,4,offline3b_mean,17284,0.31950862061027685,0.31950862061027685,0.3240049188846308,0.05,864,0.35648148148148145,0.21690140845070421,0.4407501586143665
musique-v2,4,offline3b_mean,17284,0.31950862061027685,0.31950862061027685,0.3240049188846308,0.1,1728,0.38252314814814814,0.2364937388193202,0.4870138869149153
musique-v2,4,offline3b_mean,17284,0.31950862061027685,0.31950862061027685,0.3240049188846308,0.15,2593,0.39529502506748937,0.24633501562124488,0.5176902041277147
musique-v2,4,offline3b_mean,17284,0.31950862061027685,0.31950862061027685,0.3240049188846308,0.3,5185,0.4811957569913211,0.31682539682539684,0.5818940464297253
musique-v2,4,offline3b_top2_mean,17284,0.31417142533549886,0.3141714253354989,0.30022321014845904,0.05,864,0.32175925925925924,0.1917241379310345,0.4133064202539538
musique-v2,4,offline3b_top2_mean,17284,0.31417142533549886,0.3141714253354989,0.30022321014845904,0.1,1728,0.3628472222222222,0.22163308589607636,0.4676804878564085
musique-v2,4,offline3b_top2_mean,17284,0.31417142533549886,0.3141714253354989,0.30022321014845904,0.15,2593,0.37755495564982644,0.23270739244116947,0.49751974831918444
musique-v2,4,offline3b_top2_mean,17284,0.31417142533549886,0.3141714253354989,0.30022321014845904,0.3,5185,0.4738669238187078,0.31050170605332994,0.569014303227771
musique-v2,4,offline3b_freq_top15,17284,0.3008871567336583,0.30088715673365823,0.30417252234519904,0.05,864,0.26967592592592593,0.15585284280936454,0.33411260661023545
musique-v2,4,offline3b_freq_top15,17284,0.3008871567336583,0.30088715673365823,0.30417252234519904,0.1,1728,0.3923611111111111,0.24406047516198703,0.46316351335348327
musique-v2,4,offline3b_freq_top15,17284,0.3008871567336583,0.30088715673365823,0.30417252234519904,0.15,2593,0.39529502506748937,0.24633501562124488,0.47029440046236204
musique-v2,4,offline3b_freq_top15,17284,0.3008871567336583,0.30088715673365823,0.30417252234519904,0.3,5185,0.47155255544840885,0.3085173501577287,0.5356528631374595
