example,source,kind,layer,rank,original_gap,delta_recovery_error,final_kv_error,explained_variance
66,preprocess,k,32,4,0.1740965269719636,0.8220604092171361,0.14311786220585457,0.3242166835977548
66,preprocess,k,32,8,0.1740965269719636,0.7802368971195264,0.1358365340038908,0.39123038437329366
66,preprocess,k,32,16,0.1740965269719636,0.7263144523328379,0.12644882364069088,0.4724673163324497
66,preprocess,k,32,32,0.1740965269719636,0.6658641646823019,0.11592463850627638,0.5566249141919403
66,preprocess,k,32,64,0.1740965269719636,0.5944108749744099,0.10348486892741084,0.6466757117121564
66,preprocess,k,33,4,0.25852018518617537,0.8765335761268841,0.22660162242222262,0.23168888992221584
66,preprocess,k,33,8,0.25852018518617537,0.8400144009610462,0.21716067849550383,0.2943758061780547
66,preprocess,k,33,16,0.25852018518617537,0.7870060207503301,0.2034569422270103,0.380621523302731
66,preprocess,k,33,32,0.25852018518617537,0.7195180787169794,0.1860099469547146,0.48229373439942674
66,preprocess,k,33,64,0.25852018518617537,0.6392862313652399,0.16526839491951395,0.591313114386829
66,preprocess,k,34,4,0.17303050554107574,0.8229729294797333,0.14239942203449832,0.32271555734354584
66,preprocess,k,34,8,0.17303050554107574,0.7850608179329289,0.1358394702074251,0.38367951214648055
66,preprocess,k,34,16,0.17303050554107574,0.7356156794967461,0.1272839529072639,0.45886957207854057
66,preprocess,k,34,32,0.17303050554107574,0.6762122818408506,0.11700535298000676,0.54273694988759
66,preprocess,k,34,64,0.17303050554107574,0.604624151342198,0.10461842256908441,0.6344296356137268
66,preprocess,k,35,4,0.29589838216480946,0.8422350446241239,0.24921598710678433,0.2906401296070001
66,preprocess,k,35,8,0.29589838216480946,0.8003897467777924,0.23683403117285026,0.35937625325298134
66,preprocess,k,35,16,0.29589838216480946,0.7492290040787012,0.2216956501778391,0.4386558994472375
66,preprocess,k,35,32,0.29589838216480946,0.6873417732038495,0.2033833186853104,0.527561286808988
66,preprocess,k,35,64,0.29589838216480946,0.6128772963619267,0.18134940045903655,0.6243814196040951
66,preprocess,k,36,4,0.42282804722369494,0.8596046751771824,0.36346496618952656,0.2610798024135308
66,preprocess,k,36,8,0.42282804722369494,0.8137146758986049,0.3440613874074689,0.3378684262272285
66,preprocess,k,36,16,0.42282804722369494,0.750563483881799,0.3173592922071543,0.43665445666321645
66,preprocess,k,36,32,0.42282804722369494,0.6696140062590827,0.283131582660163,0.5516170826216611
66,preprocess,k,36,64,0.42282804722369494,0.5774020944469247,0.24414180005786465,0.6666068213283046
66,preprocess,k,37,4,0.42768927479241986,0.8278216264967898,0.3540504310938935,0.3147113547042094
66,preprocess,k,37,8,0.42768927479241986,0.7760409697004806,0.33190439954040485,0.39776041334633766
66,preprocess,k,37,16,0.42768927479241986,0.7160851992668906,0.3062619595640419,0.48722198739089767
66,preprocess,k,37,32,0.42768927479241986,0.6473164761265627,0.2768503142357544,0.5809813797350891
66,preprocess,k,37,64,0.42768927479241986,0.5676232546019516,0.24276637811602178,0.677803840835088
66,preprocess,k,38,4,0.4044983226411791,0.842178651678661,0.3406598519682282,0.2907351186567126
66,preprocess,k,38,8,0.4044983226411791,0.7927264535099308,0.3206565207580576,0.37158476990556766
66,preprocess,k,38,16,0.4044983226411791,0.7292735652196022,0.29498993387788164,0.4681600670718906
66,preprocess,k,38,32,0.4044983226411791,0.6555841371486952,0.2651826838268119,0.5702094391190008
66,preprocess,k,38,64,0.4044983226411791,0.5713194864895864,0.23109777397725745,0.6735940443572753
66,preprocess,k,39,4,0.4064888088613139,0.8352911363106652,0.3395364990513357,0.3022887176008378
66,preprocess,k,39,8,0.4064888088613139,0.7864306118049572,0.3196752426446714,0.38152689281608076
66,preprocess,k,39,16,0.4064888088613139,0.7238609415575649,0.2942413719149637,0.4760253372873957
66,preprocess,k,39,32,0.4064888088613139,0.6491765750729073,0.2638830127420534,0.5785697743766101
66,preprocess,k,39,64,0.4064888088613139,0.5687156160737411,0.23117653335864333,0.6765625480338651
66,preprocess,k,40,4,0.3679108775782272,0.8274288952706608,0.30442009099261186,0.31536142327117395
66,preprocess,k,40,8,0.3679108775782272,0.7809104407479344,0.2873054455655728,0.3901788835308669
66,preprocess,k,40,16,0.3679108775782272,0.7201934624544573,0.26496700879772145,0.48132137663786023
66,preprocess,k,40,32,0.3679108775782272,0.6462651464042584,0.23776797716181222,0.5823413605430825
66,preprocess,k,40,64,0.3679108775782272,0.5665684320608775,0.2084466890476377,0.6790002117920788
66,preprocess,k,41,4,0.48202372701345164,0.8195937289834261,0.39506362388144384,0.3282661194110424
66,preprocess,k,41,8,0.48202372701345164,0.7711271901108473,0.37170160217864107,0.4053628566717492
66,preprocess,k,41,16,0.48202372701345164,0.7124958098554349,0.3434398857479843,0.4923497209384479
66,preprocess,k,41,32,0.48202372701345164,0.635704334411347,0.3064245725515631,0.5958799992106263
66,preprocess,k,41,64,0.48202372701345164,0.553744266537884,0.26691787516892096,0.6933672872764209
66,preprocess,k,42,4,0.5855693223373828,0.8293009692118811,0.48561320655513596,0.31225990246423463
66,preprocess,k,42,8,0.5855693223373828,0.7831304065564263,0.4585771414690456,0.3867067663267665
66,preprocess,k,42,16,0.5855693223373828,0.7232651590823987,0.4235218890741196,0.4768875096575124
66,preprocess,k,42,32,0.5855693223373828,0.6453415966261591,0.3778922414125046,0.5835342236639998
66,preprocess,k,42,64,0.5855693223373828,0.556140179296828,0.32565862791543415,0.690708100971692
66,preprocess,k,43,4,0.5789733277948861,0.8149910667034056,0.4718580900123747,0.3357895611936451
66,preprocess,k,43,8,0.5789733277948861,0.7604085280587592,0.44025625597379087,0.42177887045551116
66,preprocess,k,43,16,0.5789733277948861,0.7005017148683617,0.4055718089833598,0.5092973474664846
66,preprocess,k,43,32,0.5789733277948861,0.6243704828448849,0.36149385622960295,0.6101615001520452
66,preprocess,k,43,64,0.5789733277948861,0.5441927677879932,0.3150730977281241,0.7038542314872434
66,preprocess,k,44,4,0.5707901682817754,0.8109476125193308,0.46288092421761284,0.3423639697491973
66,preprocess,k,44,8,0.5707901682817754,0.7640219986992838,0.4360962452085426,0.4162703855035516
66,preprocess,k,44,16,0.5707901682817754,0.7053103391364132,0.40258420716654936,0.5025373255072778
66,preprocess,k,44,32,0.5707901682817754,0.635647180712862,0.3628211612469306,0.5959526616517902
66,preprocess,k,44,64,0.5707901682817754,0.5582761468411737,0.31865853580317466,0.6883277438681723
66,preprocess,k,45,4,0.636627684231313,0.7949821935385356,0.5061076728775673,0.3680033119566584
66,preprocess,k,45,8,0.636627684231313,0.7263979777826057,0.462445062426049,0.47234597787334104
66,preprocess,k,45,16,0.636627684231313,0.6482339986669496,0.41268370941134414,0.5797926829722572
66,preprocess,k,45,32,0.636627684231313,0.5618106355211206,0.35766420386833325,0.6843688098153545
66,preprocess,k,45,64,0.636627684231313,0.4831163562989127,0.3075652471248467,0.766598586276462
66,preprocess,k,46,4,0.6278827702915581,0.8525818531006721,0.5353214558251603,0.2731041837634238
66,preprocess,k,46,8,0.6278827702915581,0.800238771735824,0.502456136892203,0.35961790821073975
66,preprocess,k,46,16,0.6278827702915581,0.733008355578625,0.4602433169475666,0.46269875065192007
66,preprocess,k,46,32,0.6278827702915581,0.6519371433210851,0.40934009960440754,0.574977961158343
66,preprocess,k,46,64,0.6278827702915581,0.568124843603241,0.35671580067306125,0.6772341620807929
66,preprocess,k,47,4,0.6484482897812693,0.8172444629293768,0.5299407743197664,0.33211148781127453
66,preprocess,k,47,8,0.6484482897812693,0.7597270713957459,0.4926437201471038,0.4228147769884431
66,preprocess,k,47,16,0.6484482897812693,0.6983754537954052,0.45286036863884843,0.5122717255360618
66,preprocess,k,47,32,0.6484482897812693,0.6274711095348319,0.40688256786501725,0.6062800066991271
66,preprocess,k,47,64,0.6484482897812693,0.5512594497690543,0.3574632474285068,0.6961130190403195
