example_id,rate,freq_threshold,token_category,token_count,token_ratio_in_stable,doc_len,stable_count
12,0.15,1.0,position_90-100%,188,0.6787003610108303,2462,277
13,0.15,1.0,latin_word,174,0.6590909090909091,2439,264
13,0.15,1.0,number,16,0.06060606060606061,2439,264
13,0.15,1.0,punct_or_symbol,64,0.24242424242424243,2439,264
13,0.15,1.0,space,10,0.03787878787878788,2439,264
13,0.15,1.0,position_10-20%,2,0.007575757575757576,2439,264
13,0.15,1.0,position_20-30%,2,0.007575757575757576,2439,264
13,0.15,1.0,position_40-50%,1,0.003787878787878788,2439,264
13,0.15,1.0,position_50-60%,7,0.026515151515151516,2439,264
13,0.15,1.0,position_60-70%,16,0.06060606060606061,2439,264
13,0.15,1.0,position_70-80%,20,0.07575757575757576,2439,264
13,0.15,1.0,position_80-90%,34,0.12878787878787878,2439,264
13,0.15,1.0,position_90-100%,182,0.6893939393939394,2439,264
14,0.15,1.0,latin_word,140,0.639269406392694,2120,219
14,0.15,1.0,number,5,0.0228310502283105,2120,219
14,0.15,1.0,other_text,5,0.0228310502283105,2120,219
14,0.15,1.0,punct_or_symbol,62,0.2831050228310502,2120,219
14,0.15,1.0,space,7,0.0319634703196347,2120,219
14,0.15,1.0,position_00-10%,1,0.0045662100456621,2120,219
14,0.15,1.0,position_10-20%,1,0.0045662100456621,2120,219
14,0.15,1.0,position_30-40%,1,0.0045662100456621,2120,219
14,0.15,1.0,position_40-50%,2,0.0091324200913242,2120,219
14,0.15,1.0,position_50-60%,12,0.0547945205479452,2120,219
14,0.15,1.0,position_60-70%,7,0.0319634703196347,2120,219
14,0.15,1.0,position_70-80%,16,0.0730593607305936,2120,219
14,0.15,1.0,position_80-90%,31,0.1415525114155251,2120,219
14,0.15,1.0,position_90-100%,148,0.6757990867579908,2120,219
15,0.15,1.0,latin_word,107,0.6079545454545454,1551,176
15,0.15,1.0,number,14,0.07954545454545454,1551,176
15,0.15,1.0,other_text,1,0.005681818181818182,1551,176
15,0.15,1.0,punct_or_symbol,47,0.26704545454545453,1551,176
15,0.15,1.0,space,7,0.03977272727272727,1551,176
15,0.15,1.0,position_00-10%,1,0.005681818181818182,1551,176
15,0.15,1.0,position_30-40%,2,0.011363636363636364,1551,176
15,0.15,1.0,position_40-50%,2,0.011363636363636364,1551,176
15,0.15,1.0,position_50-60%,4,0.022727272727272728,1551,176
15,0.15,1.0,position_60-70%,7,0.03977272727272727,1551,176
15,0.15,1.0,position_70-80%,12,0.06818181818181818,1551,176
