example_id,main_idx,sub_idx,doc_len,selected_count,rank,rank_pct,position,doc_position,importance_score,key_token_rel_delta,value_token_rel_delta,value_over_key_delta
1,0,0,2105,196,71,0.3596938775510204,933,141,12.9375,0.16174456477165222,1.8359497785568237,11.350921010158396
1,0,0,2105,196,72,0.3647959183673469,1012,220,12.9375,0.17810861766338348,0.5346915125846863,3.0020530145948627
1,0,0,2105,196,73,0.36989795918367346,1974,1182,12.9375,0.16663354635238647,0.9988263249397278,5.994149118218228
1,0,0,2105,196,74,0.375,2104,1312,12.9375,0.18427976965904236,1.718040943145752,9.323003530529576
1,0,0,2105,196,75,0.38010204081632654,1897,1105,12.75,0.16745765507221222,0.6674646735191345,3.98587137283942
1,0,0,2105,196,76,0.3852040816326531,850,58,12.625,0.13688422739505768,0.31622740626335144,2.310181474366556
1,0,0,2105,196,77,0.3903061224489796,950,158,12.625,0.16057056188583374,0.671726644039154,4.183373565775841
1,0,0,2105,196,78,0.39540816326530615,1889,1097,12.625,0.16867440938949585,0.41878965497016907,2.4828286429664312
1,0,0,2105,196,79,0.4005102040816326,2021,1229,12.625,0.1623072326183319,0.4790712594985962,2.951632233310196
1,0,0,2105,196,80,0.40561224489795916,1802,1010,12.5,0.17324389517307281,1.6172538995742798,9.3351277858841
1,0,0,2105,196,81,0.4107142857142857,1885,1093,12.3125,0.16437764465808868,0.6588497757911682,4.008147075945703
1,0,0,2105,196,82,0.41581632653061223,1015,223,12.125,0.1642255336046219,0.5855613946914673,3.5655928882390424
1,0,0,2105,196,83,0.42091836734693877,1028,236,12.125,0.1631549894809723,0.4991161525249481,3.0591534718593305
1,0,0,2105,196,84,0.4260204081632653,845,53,11.75,0.15151777863502502,0.4379581809043884,2.8904738760488864
1,0,0,2105,196,85,0.43112244897959184,2016,1224,11.75,0.1753135323524475,0.4615171253681183,2.6325242505390807
1,0,0,2105,196,86,0.4362244897959184,951,159,11.6875,0.15667107701301575,0.31396031379699707,2.0039455895800744
1,0,0,2105,196,87,0.4413265306122449,1013,221,11.625,0.1788579374551773,0.6175493597984314,3.4527366723645665
1,0,0,2105,196,88,0.44642857142857145,1170,378,11.625,0.1703515499830246,1.1266131401062012,6.613459872903145
1,0,0,2105,196,89,0.45153061224489793,1973,1181,11.625,0.16694851219654083,1.266946792602539,7.5888474591701165
1,0,0,2105,196,90,0.45663265306122447,1378,586,11.375,0.1665354073047638,0.5030723810195923,3.0208133462930014
1,0,0,2105,196,91,0.461734693877551,1896,1104,11.25,0.16554367542266846,1.6880923509597778,10.197262726223272
1,0,0,2105,196,92,0.46683673469387754,847,55,11.125,0.1352231651544571,0.45024681091308594,3.32965738818099
1,0,0,2105,196,93,0.4719387755102041,1373,581,11.125,0.17252486944198608,1.7014728784561157,9.862189051059666
1,0,0,2105,196,94,0.4770408163265306,1382,590,11.125,0.17843873798847198,1.406663179397583,7.883171531288106
1,0,0,2105,196,95,0.48214285714285715,1388,596,11.125,0.17097117006778717,0.6422809362411499,3.7566622254660813
1,0,0,2105,196,96,0.4872448979591837,2018,1226,11.125,0.15962934494018555,0.42342203855514526,2.652532582346639
1,0,0,2105,196,97,0.4923469387755102,1027,235,11.0625,0.16695350408554077,0.49420398473739624,2.9601294530555307
1,0,0,2105,196,98,0.49744897959183676,1799,1007,11.0625,0.15957166254520416,0.32405129075050354,2.0307571255433534
1,0,0,2105,196,99,0.5025510204081632,1026,234,10.8125,0.18215353786945343,1.5603410005569458,8.566075733684906
1,0,0,2105,196,100,0.5076530612244898,955,163,10.75,0.15516297519207,0.574164867401123,3.700398672342336
1,0,0,2105,196,101,0.5127551020408163,1515,723,10.6875,0.17144587635993958,0.5160884857177734,3.010212299485516
1,0,0,2105,196,102,0.5178571428571429,1009,217,10.625,0.1705063432455063,1.8305155038833618,10.735761902048
1,0,0,2105,196,103,0.5229591836734694,1883,1091,10.625,0.1633024662733078,0.3573243021965027,2.1881133233853682
1,0,0,2105,196,104,0.5280612244897959,945,153,10.5625,0.15717348456382751,0.29042527079582214,1.84780067452175
1,0,0,2105,196,105,0.5331632653061225,1962,1170,10.5625,0.17661675810813904,2.312357187271118,13.092512919086726
1,0,0,2105,196,106,0.5382653061224489,1810,1018,10.5,0.16621385514736176,0.6403482556343079,3.8525564253517603
