example_id,sub_q_idx,offline_count,candidate_count,teacher_count,candidate_residual_count,teacher_residual_count,final_intersection,final_jaccard,final_teacher_recall,residual_intersection,residual_jaccard,residual_teacher_recall
114,0,93,207,207,114,114,146,0.5447761194029851,0.7053140096618358,53,0.3028571428571429,0.4649122807017544
114,1,231,326,326,95,95,280,0.7526881720430108,0.8588957055214724,49,0.3475177304964539,0.5157894736842106
117,0,92,187,187,95,95,140,0.5982905982905983,0.7486631016042781,48,0.3380281690140845,0.5052631578947369
117,1,193,272,272,79,79,233,0.7491961414790996,0.8566176470588235,40,0.3389830508474576,0.5063291139240507
118,0,151,246,246,95,95,205,0.7142857142857143,0.8333333333333334,54,0.39705882352941174,0.5684210526315789
119,0,91,198,198,107,107,150,0.6097560975609756,0.7575757575757576,59,0.38064516129032255,0.5514018691588785
119,1,209,295,295,86,86,251,0.7404129793510325,0.8508474576271187,42,0.3230769230769231,0.4883720930232558
120,0,198,338,338,140,140,272,0.6732673267326733,0.8047337278106509,74,0.3592233009708738,0.5285714285714286
121,0,91,208,208,117,117,140,0.5072463768115942,0.6730769230769231,49,0.2648648648648649,0.4188034188034188
121,1,251,378,378,127,127,314,0.7104072398190046,0.8306878306878307,63,0.3298429319371728,0.49606299212598426
123,0,137,260,260,123,123,178,0.52046783625731,0.6846153846153846,41,0.2,0.3333333333333333
123,1,167,272,272,105,105,207,0.6142433234421365,0.7610294117647058,40,0.23529411764705882,0.38095238095238093
123,2,238,344,344,106,106,289,0.7243107769423559,0.8401162790697675,51,0.3167701863354037,0.4811320754716981
123,3,326,443,443,117,117,380,0.7509881422924901,0.8577878103837472,54,0.3,0.46153846153846156
125,0,200,338,338,138,138,269,0.6609336609336609,0.7958579881656804,69,0.3333333333333333,0.5
126,0,77,172,172,95,95,123,0.5565610859728507,0.7151162790697675,46,0.3194444444444444,0.4842105263157895
126,1,194,299,299,105,105,242,0.6797752808988764,0.8093645484949833,48,0.2962962962962963,0.45714285714285713
127,0,120,196,196,76,76,161,0.696969696969697,0.8214285714285714,41,0.36936936936936937,0.5394736842105263
128,0,181,294,294,113,113,232,0.651685393258427,0.7891156462585034,51,0.2914285714285714,0.45132743362831856
129,0,209,333,333,124,124,257,0.628361858190709,0.7717717717717718,48,0.24,0.3870967741935484
130,0,63,138,138,75,75,108,0.6428571428571429,0.782608695652174,45,0.42857142857142855,0.6
130,1,199,301,301,102,102,242,0.6722222222222223,0.8039867109634552,43,0.2670807453416149,0.4215686274509804
131,0,78,154,154,76,76,118,0.6210526315789474,0.7662337662337663,40,0.35714285714285715,0.5263157894736842
131,1,185,274,274,89,89,229,0.7178683385579937,0.8357664233576643,44,0.3283582089552239,0.4943820224719101
133,0,113,202,202,89,89,160,0.6557377049180327,0.7920792079207921,47,0.35877862595419846,0.5280898876404494
133,1,187,283,283,96,96,238,0.725609756097561,0.8409893992932862,51,0.3617021276595745,0.53125
135,0,88,175,175,87,87,138,0.6509433962264151,0.7885714285714286,50,0.4032258064516129,0.5747126436781609
135,1,223,317,317,94,94,266,0.7228260869565217,0.8391167192429022,43,0.296551724137931,0.4574468085106383
136,0,65,133,133,68,68,111,0.7161290322580646,0.8345864661654135,46,0.5111111111111111,0.6764705882352942
136,1,168,271,271,103,103,228,0.7261146496815286,0.8413284132841329,60,0.410958904109589,0.5825242718446602
