example_id,sub_q_idx,offline_count,candidate_count,teacher_count,candidate_residual_count,teacher_residual_count,final_intersection,final_jaccard,final_teacher_recall,residual_intersection,residual_jaccard,residual_teacher_recall
45,1,281,406,406,125,125,339,0.7167019027484144,0.8349753694581281,58,0.3020833333333333,0.464
46,0,102,210,210,108,108,148,0.5441176470588235,0.7047619047619048,46,0.27058823529411763,0.42592592592592593
46,1,205,335,335,130,130,272,0.6834170854271356,0.8119402985074626,67,0.3471502590673575,0.5153846153846153
50,0,129,238,238,109,109,178,0.5973154362416108,0.7478991596638656,49,0.28994082840236685,0.44954128440366975
50,1,187,310,310,123,123,230,0.5897435897435898,0.7419354838709677,43,0.21182266009852216,0.34959349593495936
50,2,187,310,310,123,123,230,0.5897435897435898,0.7419354838709677,43,0.21182266009852216,0.34959349593495936
50,3,263,431,431,168,168,325,0.6052141527001862,0.7540603248259861,62,0.22627737226277372,0.36904761904761907
51,0,73,157,157,84,84,117,0.5939086294416244,0.7452229299363057,44,0.3548387096774194,0.5238095238095238
51,1,172,283,283,111,111,223,0.6501457725947521,0.7879858657243817,51,0.2982456140350877,0.4594594594594595
52,0,117,201,201,84,84,164,0.6890756302521008,0.8159203980099502,47,0.3884297520661157,0.5595238095238095
52,1,94,195,195,101,101,161,0.7030567685589519,0.8256410256410256,67,0.4962962962962963,0.6633663366336634
52,2,203,326,326,123,123,265,0.6847545219638242,0.8128834355828221,62,0.33695652173913043,0.5040650406504065
53,0,149,250,250,101,101,206,0.7006802721088435,0.824,57,0.3931034482758621,0.5643564356435643
54,0,77,159,159,82,82,124,0.6391752577319587,0.779874213836478,47,0.4017094017094017,0.573170731707317
54,1,186,311,311,125,125,249,0.6675603217158177,0.8006430868167203,63,0.33689839572192515,0.504
55,0,175,286,286,111,111,238,0.7125748502994012,0.8321678321678322,63,0.39622641509433965,0.5675675675675675
56,0,147,237,237,90,90,202,0.7426470588235294,0.8523206751054853,55,0.44,0.6111111111111112
57,0,121,205,205,84,84,161,0.6465863453815262,0.7853658536585366,40,0.3125,0.47619047619047616
58,0,98,180,180,82,82,143,0.6589861751152074,0.7944444444444444,45,0.37815126050420167,0.5487804878048781
