example_id,chunk_id,method,rate,chunk_len,selected_count
6,9,offline32b_freq_boundary0p02_global,0.05,932,55
7,0,offline32b_mean_score_global,0.05,1046,48
7,1,offline32b_mean_score_global,0.05,331,14
7,2,offline32b_mean_score_global,0.05,306,16
7,3,offline32b_mean_score_global,0.05,979,18
7,4,offline32b_mean_score_global,0.05,326,17
7,5,offline32b_mean_score_global,0.05,875,20
7,6,offline32b_mean_score_global,0.05,958,28
7,7,offline32b_mean_score_global,0.05,966,25
7,8,offline32b_mean_score_global,0.05,74,22
7,9,offline32b_mean_score_global,0.05,313,100
7,0,offline32b_top2_mean_global,0.05,1046,38
7,1,offline32b_top2_mean_global,0.05,331,11
7,2,offline32b_top2_mean_global,0.05,306,20
7,3,offline32b_top2_mean_global,0.05,979,20
7,4,offline32b_top2_mean_global,0.05,326,17
7,5,offline32b_top2_mean_global,0.05,875,23
7,6,offline32b_top2_mean_global,0.05,958,29
7,7,offline32b_top2_mean_global,0.05,966,27
7,8,offline32b_top2_mean_global,0.05,74,20
7,9,offline32b_top2_mean_global,0.05,313,103
7,0,offline32b_freq_boundary0p02_global,0.05,1046,38
7,1,offline32b_freq_boundary0p02_global,0.05,331,19
7,2,offline32b_freq_boundary0p02_global,0.05,306,26
7,3,offline32b_freq_boundary0p02_global,0.05,979,25
7,4,offline32b_freq_boundary0p02_global,0.05,326,22
7,5,offline32b_freq_boundary0p02_global,0.05,875,25
7,6,offline32b_freq_boundary0p02_global,0.05,958,31
7,7,offline32b_freq_boundary0p02_global,0.05,966,30
7,8,offline32b_freq_boundary0p02_global,0.05,74,26
7,9,offline32b_freq_boundary0p02_global,0.05,313,66
8,0,offline32b_mean_score_global,0.05,930,28
8,1,offline32b_mean_score_global,0.05,463,30
8,2,offline32b_mean_score_global,0.05,182,13
8,3,offline32b_mean_score_global,0.05,568,13
8,4,offline32b_mean_score_global,0.05,156,11
8,5,offline32b_mean_score_global,0.05,794,44
8,6,offline32b_mean_score_global,0.05,673,23
8,7,offline32b_mean_score_global,0.05,954,42
8,8,offline32b_mean_score_global,0.05,64,22
8,9,offline32b_mean_score_global,0.05,398,33
8,0,offline32b_top2_mean_global,0.05,930,26
8,1,offline32b_top2_mean_global,0.05,463,31
8,2,offline32b_top2_mean_global,0.05,182,17
8,3,offline32b_top2_mean_global,0.05,568,14
8,4,offline32b_top2_mean_global,0.05,156,12
8,5,offline32b_top2_mean_global,0.05,794,40
8,6,offline32b_top2_mean_global,0.05,673,31
8,7,offline32b_top2_mean_global,0.05,954,38
8,8,offline32b_top2_mean_global,0.05,64,19
8,9,offline32b_top2_mean_global,0.05,398,31
8,0,offline32b_freq_boundary0p02_global,0.05,930,28
8,1,offline32b_freq_boundary0p02_global,0.05,463,27
8,2,offline32b_freq_boundary0p02_global,0.05,182,20
8,3,offline32b_freq_boundary0p02_global,0.05,568,20
8,4,offline32b_freq_boundary0p02_global,0.05,156,19
8,5,offline32b_freq_boundary0p02_global,0.05,794,38
8,6,offline32b_freq_boundary0p02_global,0.05,673,22
8,7,offline32b_freq_boundary0p02_global,0.05,954,37
8,8,offline32b_freq_boundary0p02_global,0.05,64,20
8,9,offline32b_freq_boundary0p02_global,0.05,398,28
9,0,offline32b_mean_score_global,0.05,453,63
9,1,offline32b_mean_score_global,0.05,180,14
9,2,offline32b_mean_score_global,0.05,531,22
9,3,offline32b_mean_score_global,0.05,967,25
9,4,offline32b_mean_score_global,0.05,388,27
9,5,offline32b_mean_score_global,0.05,961,31
9,6,offline32b_mean_score_global,0.05,1170,41
9,7,offline32b_mean_score_global,0.05,106,17
9,8,offline32b_mean_score_global,0.05,923,33
9,9,offline32b_mean_score_global,0.05,884,55
9,0,offline32b_top2_mean_global,0.05,453,67
