source,kind,layer,relative_l2,diff_norm,full_norm,source_norm,cosine_source_full,delta_energy_share
raw,hidden_layer_input,21,0.16525977539036618,8589.224698532167,51974.07946515263,52315.86114650126,0.9864552991308814,6.654051704608322e-05
raw,hidden_layer_input,22,0.17402774192904116,9344.240772228368,53693.972401471656,53950.748172523054,0.9849406392801884,7.875285069831841e-05
raw,hidden_layer_input,23,0.18366625183730104,10072.257811527414,54840.00305320013,54974.29879498237,0.9831775623651687,9.150227874374123e-05
raw,hidden_layer_input,24,0.19267033826585117,10683.65108252441,55450.41950247085,55472.14564873978,0.9814464235338908,0.00010294793379380869
raw,hidden_layer_input,25,0.19819155688740167,11214.620556164618,56584.754327026996,56481.64874762421,0.9803258760721169,0.0001134350875359667
raw,hidden_layer_input,26,0.20329508619884726,11749.29399142242,57794.28421565579,57484.78953601552,0.97923873687056,0.0001245092979732201
raw,hidden_layer_input,27,0.20616080304143444,12497.01438469405,60617.80028176542,60031.03371278059,0.9785884710768425,0.00014086100483221679
raw,hidden_layer_input,28,0.20662006301400548,13058.779354087808,63201.89416069743,62426.00642160285,0.9784650648906731,0.0001538095886052033
raw,hidden_layer_input,29,0.20820763183702984,13477.736437130308,64732.192178621604,63897.3213092693,0.9781258616257235,0.00016383706572779347
raw,hidden_layer_input,30,0.20891406270233082,13988.704427590856,66959.13260526901,66079.68829943132,0.9779744338088241,0.00017649533482622532
raw,hidden_layer_input,31,0.21002081065531894,13930.344881992334,66328.40259270533,65488.41802563259,0.9777439786956932,0.00017502576315972838
raw,hidden_layer_input,32,0.21098792625142324,13833.001563290594,65563.00073212024,64771.83388441306,0.9775438816343615,0.00017258819816985343
raw,hidden_layer_input,33,0.20706573857698415,13530.384836082823,65343.42633922712,64757.781829676656,0.9784085473598361,0.00016511956694645384
raw,hidden_layer_input,34,0.20331744816333236,13506.337754226717,66429.80165370058,65966.64534634151,0.979210382147042,0.00016453316599082226
raw,hidden_layer_input,35,0.20574859907145227,13738.233182209056,66771.94033986132,66490.04052863858,0.9787529864362428,0.00017023153279908777
raw,hidden_layer_input,36,0.21445596172590362,14104.133197399973,65767.03712917285,65819.4403349041,0.9770229625037796,0.00017942007923110934
raw,hidden_layer_input,37,0.2276696898829849,14730.986582286334,64703.32783365937,64899.789213833355,0.974166308747541,0.0001957230210165384
raw,hidden_layer_input,38,0.23397714463303837,14709.912986231428,62869.01658408536,63167.702735456514,0.9727680261155521,0.00019516343356185175
raw,hidden_layer_input,39,0.23900199937885644,15035.182379588881,62908.186620463,63299.67198078518,0.9716349093418484,0.00020388986755516382
raw,hidden_layer_input,40,0.2494863085727103,15785.509974538358,63272.04913506437,63644.42909438343,0.9690776226845088,0.00022474781419141762
raw,hidden_layer_input,41,0.25436235370450766,16427.99417533985,64585.0061382284,65143.9883143487,0.9679646244751418,0.00024341499201685702
raw,hidden_layer_input,42,0.2754087654469643,18237.712673537215,66220.52367846391,66815.19560324583,0.9624525246551896,0.00029999842959529244
raw,hidden_layer_input,43,0.28726729539074247,19221.60963847071,66911.93166394166,67186.29333614111,0.9589156281062627,0.00033324047816573216
raw,hidden_layer_input,44,1.3446108499642335,221068.41323445554,164410.70160956678,226155.5221451601,0.39408380864419856,0.04407898958462265
raw,hidden_layer_input,45,1.338728200121688,224037.29228202722,167350.8425845236,229830.5670325425,0.39825561764451783,0.04527087336202347
raw,hidden_layer_input,46,1.3242139639851949,225305.5633367716,170142.86925257844,232217.59976420822,0.40636391938447786,0.04578487933352048
raw,hidden_layer_input,47,1.3080380769247257,225611.29794737673,172480.6807442503,233750.49256097837,0.4153093154049649,0.04590922175586244
raw,hidden_layer_input,48,1.293367246985545,226151.57524351892,174854.8803679783,235801.03709854628,0.42482423601845365,0.04612936506847192
raw,hidden_layer_input,49,1.2682725865246773,226104.81638971117,178277.7762383747,237777.71724974568,0.43875198886379796,0.046110291725735345
raw,hidden_layer_input,50,1.2422236480765612,227544.25001881502,183174.9462917896,242140.55512966018,0.4555242589296145,0.046699257297829797
raw,hidden_layer_input,51,1.1897918983308424,228159.6938067721,191764.36999348967,248302.07493091957,0.4869281542002637,0.046952215882261006
raw,hidden_layer_input,52,1.1333026043561787,229288.6922386274,202319.0376138637,256353.28445916195,0.5213201411116876,0.04741803110925452
raw,hidden_layer_input,53,1.0678367425426563,230306.99295017074,215676.2206943547,266515.04681537213,0.5611005208013543,0.04784014557218487
raw,hidden_layer_input,54,0.9901238341159744,231925.08800257035,234238.4659486994,281635.6387870683,0.6093464157828379,0.04851473938986966
raw,hidden_layer_input,55,0.9073707730569043,234146.28237386132,258049.17827034442,301416.22318315913,0.6596577648364997,0.04944846061895244
raw,hidden_layer_input,56,0.8293334124759449,236813.54886914726,285546.8564351567,324907.85960638133,0.7061140681588115,0.05058145699171652
raw,hidden_layer_input,57,0.7506430481664279,240385.4396464145,320239.3470952625,354948.7774087974,0.7511167075176916,0.05211881823203215
raw,hidden_layer_input,58,0.6885112593787364,244456.69522432802,355051.12210497237,385817.222280188,0.7853320036277803,0.053899174689526666
raw,hidden_layer_input,59,0.6414151278331021,249894.66610554134,389598.95902325,416739.497019421,0.8099585883495314,0.05632383472833242
raw,hidden_layer_input,60,0.5872764200169104,256396.11008554712,436585.05832426285,457659.6527639289,0.8366055771797475,0.05929268354687392
raw,hidden_layer_input,61,0.5427702070075826,263586.9851263526,485632.7442502204,502545.106672028,0.8582434116056898,0.06266516220001592
raw,hidden_layer_input,62,0.4766283382211334,269631.6754463392,565706.345645866,580028.9296923042,0.8895300875058649,0.06557224658513845
raw,hidden_layer_input,63,0.2727983248664354,197206.16253048484,722900.9292012288,712792.4017103437,0.9623619899105408,0.035076738655910454
preprocess,hidden_layer_input,0,0.0,0.0,530.3995703463878,530.3995703463878,1.0,0.0
preprocess,hidden_layer_input,1,0.03834730735897783,301.6200547079696,7865.4819720309415,7859.177770139587,0.9992644862072982,6.549683509101167e-08
preprocess,hidden_layer_input,2,0.0584564977007909,683.8300665860204,11698.101895980817,11625.658629863728,0.9983000775411889,3.366636826834236e-07
preprocess,hidden_layer_input,3,0.06636576667369816,917.034383680378,13817.882767619918,13689.74195908199,0.9978205833221768,6.054400205725748e-07
preprocess,hidden_layer_input,4,0.0833552998292455,1353.740127395037,16240.600539716042,16029.50037967107,0.996565793110395,1.319381805400416e-06
preprocess,hidden_layer_input,5,0.08710254340073861,1679.1336454601837,19277.66492115941,18933.571723347,0.99629983158174,2.0298802292876587e-06
preprocess,hidden_layer_input,6,0.10781171706381651,2406.5291102329174,22321.591528019457,21861.329361168777,0.9942830231435129,4.169482206464642e-06
preprocess,hidden_layer_input,7,0.11672156075078786,2878.6367026120192,24662.424697680275,24163.193096629428,0.9932564256677038,5.965867486872477e-06
preprocess,hidden_layer_input,8,0.11669466252073413,3240.0432017519074,27765.13622614249,27287.897395182357,0.9932224247911327,7.557906030914177e-06
preprocess,hidden_layer_input,9,0.1119544041167498,3472.6648146688535,31018.56369176368,30508.018565309187,0.9937659508579407,8.68211670793288e-06
preprocess,hidden_layer_input,10,0.10919928674985742,3801.8160743111475,34815.39291570612,34326.38094545506,0.994052864606778,1.0405958536968312e-05
preprocess,hidden_layer_input,11,0.11143985527554864,4118.540987915578,36957.52276178018,36387.71202961241,0.9938140591321344,1.2211996491841744e-05
preprocess,hidden_layer_input,12,0.1176454631345715,4469.643936592923,37992.488766695715,37360.370522286044,0.9931034436977516,1.438287615436204e-05
preprocess,hidden_layer_input,13,0.1286169648870611,5069.02509406857,39411.79220423755,38775.06785696835,0.9917256719805908,1.8499021976624947e-05
preprocess,hidden_layer_input,14,0.13010635724269123,5337.019046502867,41020.432510823186,40324.300757266705,0.9915365444220744,2.050677617875057e-05
preprocess,hidden_layer_input,15,0.13513771869628052,5807.322126190672,42973.36215392624,42278.094072906126,0.9908517715298569,2.4280169771671583e-05
preprocess,hidden_layer_input,16,0.14519993012681792,6524.448658758934,44934.24103620757,44342.073403822695,0.9894057141650335,3.064696849774581e-05
preprocess,hidden_layer_input,17,0.155888052554224,7288.182238916385,46752.667183274156,46335.799340250946,0.9877802723496673,3.82418006261461e-05
preprocess,hidden_layer_input,18,0.16682426078389892,8073.671383538904,48396.26649985513,48010.16079956409,0.9860050102518523,4.6929078156155834e-05
preprocess,hidden_layer_input,19,0.18473098838521498,9194.985140094708,49775.00104595679,49494.51870914597,0.9828565178527342,6.086981045367887e-05
preprocess,hidden_layer_input,20,0.2097577953985603,10710.202613556734,51059.85497800596,51041.58090958782,0.9779930274188495,8.25838754913952e-05
preprocess,hidden_layer_input,21,0.2321342877223113,12064.96591666601,51974.07946515263,52256.81535814252,0.9732173372076621,0.00010479778045551248
preprocess,hidden_layer_input,22,0.25109080629005404,13482.062823201426,53693.972401471656,54238.76369581077,0.9688443014315785,0.00013086170636991386
preprocess,hidden_layer_input,23,0.27399852638597133,15026.080023579005,54840.00305320013,55507.69142425219,0.9629871716136752,0.00016255161202815424
