part,target,source,kind,context_index,rank,delta_norm2,base_norm2,error_norm2,prediction_norm2,target_prediction_dot,original_gap,delta_recovery_error,final_kv_error,explained_delta_energy,cosine
t2,2,raw,v,40,16,3875235.446943965,24667869.18041992,766260.931655582,3188804.830001964,3148889.6838092096,0.3963539847155843,0.4446714992167431,0.1762473206040089,0.802267257784334,0.895765701615195
t2,2,raw,v,40,32,3875235.446943965,24667869.18041992,553558.344238735,3383035.8505447367,3352356.469631899,0.3963539847155843,0.3779485241617111,0.1498014035688685,0.8571549130839844,0.9258653808901272
t2,2,raw,v,40,64,3875235.446943965,24667869.18041992,289455.2237330148,3620941.160764884,3603360.6735449694,0.3963539847155843,0.2733012693604917,0.1083240471388581,0.925306416165944,0.9619399321076016
t2,2,raw,v,41,0,3245285.02909369,24667869.18041992,971624.8596893448,2576515.463537113,2425087.8259668723,0.3627108982418901,0.5471707657499222,0.1984647999368571,0.7006041531086438,0.8386575704089889
t2,2,raw,v,41,1,3245285.02909369,24667869.18041992,879296.2222466767,2633058.5282535907,2499523.691531829,0.3627108982418901,0.5205245057787022,0.188799911047909,0.7290542388838377,0.8550678508193608
t2,2,raw,v,41,2,3245285.02909369,24667869.18041992,834488.9275857842,2645231.674375547,2528013.904936068,0.3627108982418901,0.5070886221681172,0.1839265696348402,0.7428611292676404,0.8628219363183625
t2,2,raw,v,41,4,3245285.02909369,24667869.18041992,765717.7999589843,2678549.1861693365,2579058.232491352,0.3627108982418901,0.4857445630971139,0.1761848467970686,0.764052219421594,0.8747519356223592
t2,2,raw,v,41,8,3245285.02909369,24667869.18041992,676344.6884469253,2722450.7790340222,2645695.5788846463,0.3627108982418901,0.4565176980410325,0.1655839443197828,0.7915915913753166,0.8900889922243617
t2,2,raw,v,41,16,3245285.02909369,24667869.18041992,563577.1366230308,2796873.5786621035,2739290.786260821,0.3627108982418901,0.4167256761704531,0.151150944324244,0.8263397108202786,0.9092332212078144
t2,2,raw,v,41,32,3245285.02909369,24667869.18041992,410602.22248490143,2898741.586115231,2866712.229395308,0.3627108982418901,0.3557002944710051,0.1290163733124831,0.8734773005132402,0.934658425834838
t2,2,raw,v,41,64,3245285.02909369,24667869.18041992,217452.85460907064,3047129.9716740027,3037481.0987617,0.3627108982418901,0.2588547468619881,0.0938894377484888,0.932994220027016,0.9659211409926572
t2,2,raw,v,42,0,3485681.0855487734,24667869.18041992,1286780.3982147772,2576515.463537113,2387708.0843172595,0.3759049170822298,0.6075868885154551,0.2283948989476521,0.630838172904108,0.7967480849735308
t2,2,raw,v,42,1,3485681.0855487734,24667869.18041992,1222266.4665372353,2648696.8433812093,2456055.7693282217,0.3759049170822298,0.5921600760418756,0.2225958842839281,0.6493464443420802,0.8083105964415902
t2,2,raw,v,42,2,3485681.0855487734,24667869.18041992,1183891.5507635456,2670701.557507498,2486245.5780522004,0.3759049170822298,0.5827900596699619,0.2190736490565848,0.6603557463498821,0.8148684796578355
