example,target,source,kind,tokens,original_gap,internal_rank4_explained,internal_rank8_explained,internal_rank16_explained,internal_rank32_explained,internal_rank64_explained
3,6,raw,v,200,0.33836789321028077,0.37239074964384594,0.48698346827798006,0.6094742652809025,0.7366625290209209,0.8582629175771901
3,7,raw,v,52,0.38811222257626166,0.5137933738435303,0.6651790332899752,0.8160297413183448,0.9391054405274937,0.9843749334037781
3,8,raw,v,143,0.3759777117289924,0.41877858030420445,0.5392404099057693,0.6651724623765647,0.7902049728016195,0.9039349033507964
3,9,raw,v,68,0.38225726481439426,0.4350911556542092,0.5734924263497073,0.7300115970346401,0.8800981157834973,0.9807456642884947
3,10,raw,v,90,0.4432472637639704,0.43648478901777477,0.5757464040555801,0.7282335312668359,0.8640403328768265,0.9604805983693695
4,4,raw,v,126,0.4213969116644336,0.40202675967947454,0.5305292821706297,0.6712158508075953,0.8097968114612518,0.9218891506943838
4,5,raw,v,265,0.3557504098870139,0.34668233770470147,0.46708106970993596,0.5986570813418483,0.730467663351503,0.8474515196210136
4,6,raw,v,74,0.4246698187146007,0.43360575876524027,0.5841927724292225,0.7414468582103867,0.8810691575130306,0.9752460488804735
4,7,raw,v,60,0.44842982662564135,0.4459403926632602,0.5973427069919292,0.7577350666582747,0.9019255614757383,0.984374990221501
4,8,raw,v,45,0.5219872218771784,0.49212722761788663,0.6442231257833458,0.8042381520568553,0.9453577297413235,0.9843749545012624
4,9,raw,v,79,0.4751064936749888,0.4351654989626943,0.5722288735353044,0.7214380782313279,0.8650954752853602,0.9692805492612057
4,10,raw,v,102,0.4761510782506065,0.40585678856456087,0.5398280538313218,0.6815302265754958,0.820520766454835,0.9376620267599556
6,4,raw,v,244,0.35363510149790833,0.36155309428211735,0.4802282922718551,0.6018911022419029,0.7213600289115342,0.8350828914842379
6,5,raw,v,86,0.3892117679483108,0.4410656783174242,0.5946732133244982,0.7481688517679951,0.8770885148876185,0.9652218462644977
6,6,raw,v,49,0.49148501529727623,0.5313365183229088,0.7017157073380329,0.8399269163527963,0.9447585167071479,0.9843748600756895
6,7,raw,v,203,0.35306496552941913,0.3989722828638255,0.5266249673636474,0.6531176596221344,0.7664174332791437,0.8686997868419974
6,8,raw,v,140,0.3808884526561666,0.4100163858525789,0.5498913461658095,0.6968492222679695,0.8224349100702711,0.9212532252322762
6,9,raw,v,113,0.4311523873005687,0.4264147504712054,0.5722373119215352,0.7269182006586172,0.8587460331744424,0.9475649744445309
6,10,raw,v,148,0.3579879709730265,0.40686826394894776,0.5469443596296572,0.6863052918111988,0.8098256638789687,0.9125752893556847
7,4,raw,v,254,0.36955929584132347,0.3420195294283632,0.4582763754657455,0.5856650199595489,0.7129799844348682,0.8321269098850952
7,5,raw,v,49,0.4971936593738052,0.5392708264913306,0.705997210846481,0.840741186236933,0.9446212352051544,0.9843748753948619
7,6,raw,v,203,0.372875154648688,0.39324523619446733,0.5152682364251057,0.6355006873410601,0.751143204057894,0.8601815096267749
7,7,raw,v,37,0.4320834199631609,0.5471020911681176,0.7188596708109041,0.8769060402173804,0.9756879826024139,0.9843749597337428
7,8,raw,v,183,0.38187161876387155,0.4073615010844525,0.5401162185777698,0.6750592008730041,0.7953298349822436,0.8942879514464702
7,9,raw,v,244,0.37271562562662874,0.36798211936346586,0.47997019852383516,0.5975720668022839,0.7158070015034265,0.8309670312389726
7,10,raw,v,227,0.3362252395817222,0.4306129086490444,0.5712834052445492,0.7133849919132949,0.8343800603166852,0.9121227852446351
9,4,raw,v,212,0.5194288865131793,0.32489061933564056,0.4414425393723535,0.576609445093221,0.7180781480233677,0.8490826725083087
9,5,raw,v,228,0.421417014970259,0.35251014964559463,0.47049899377506643,0.5986076472790952,0.7319335716748415,0.8547067881850562
9,6,raw,v,154,0.4298572552354652,0.35451918007771005,0.4808512798650221,0.6220885831536076,0.7625867678595994,0.8860411823014996
9,7,raw,v,139,0.43398985046161576,0.3682039990349542,0.4978644755536196,0.6391544205786187,0.7793374498609875,0.8994625238239349
9,8,raw,v,265,0.3880132291439405,0.33580562030001615,0.4516529570183035,0.5798940988340386,0.7149776274666241,0.8408740485047024
9,9,raw,v,196,0.4609561455619598,0.35819969056094175,0.4729006534322663,0.5960153519832859,0.7241997207530229,0.8488081669813722
9,10,raw,v,126,0.43703040257249914,0.39381990467281097,0.5182351368391784,0.6589603931472764,0.80042954408069,0.9178591356340623
