example,target,source,kind,rank,original_gap,delta_recovery_error,final_kv_error,explained_delta_energy
0,7,preprocess,v,4,0.42408263285979275,0.9513420202053883,0.40344762867885525,0.09494836059153056
0,7,preprocess,v,8,0.42408263285979275,0.9183823722307239,0.3894700143876277,0.15657381837586792
0,7,preprocess,v,16,0.42408263285979275,0.8659046450319849,0.3672151216706884,0.2502091457120321
0,7,preprocess,v,32,0.42408263285979275,0.7743075349878796,0.3283703780808361,0.40044784126099364
0,7,preprocess,v,64,0.42408263285979275,0.6011092267571789,0.2549199835194986,0.6386676975073864
0,8,preprocess,v,1,0.5787885305590967,0.9905421623728673,0.573314442616622,0.018826224561684146
0,8,preprocess,v,2,0.5787885305590967,0.9813754188544366,0.5680088366055773,0.036902287268279266
0,8,preprocess,v,4,0.5787885305590967,0.9638914503646244,0.5578893161750175,0.07091327191398078
0,8,preprocess,v,8,0.5787885305590967,0.9353516394876226,0.541370800975083,0.1251173105078166
0,8,preprocess,v,16,0.5787885305590967,0.8878480628366718,0.5138762756489779,0.21172581731716922
0,8,preprocess,v,32,0.5787885305590967,0.7991577883583961,0.4625433620088137,0.36134682930611695
0,8,preprocess,v,64,0.5787885305590967,0.6220445575578,0.36003225541116246,0.6130605684127209
0,9,preprocess,v,1,0.2972340231777998,0.9877503012457414,0.2935929959343554,0.02434934238894726
0,9,preprocess,v,2,0.2972340231777998,0.9739396479085765,0.289487999880236,0.05144156223171814
0,9,preprocess,v,4,0.2972340231777998,0.948733973116811,0.2819960157549683,0.09990384825399012
0,9,preprocess,v,8,0.2972340231777998,0.9128150323489304,0.271319684482246,0.16676871671782123
0,9,preprocess,v,16,0.2972340231777998,0.8567702583710957,0.2546612708347238,0.265944724370726
0,9,preprocess,v,32,0.2972340231777998,0.7624563549987541,0.2266279698937604,0.41866030672201393
0,9,preprocess,v,64,0.2972340231777998,0.5910378684842083,0.17567656349999253,0.6506742380176438
0,10,preprocess,v,1,0.3468910063587863,0.9818494943323753,0.34059475918182314,0.03597157047925892
0,10,preprocess,v,2,0.3468910063587863,0.9664048208927333,0.3352371408694629,0.06606172215528416
0,10,preprocess,v,4,0.3468910063587863,0.9451432364995537,0.32786168846253055,0.10670426249914866
0,10,preprocess,v,8,0.3468910063587863,0.9118090111679277,0.31629834549105224,0.16860432715296603
0,10,preprocess,v,16,0.3468910063587863,0.8553509237039556,0.29671354271358263,0.2683747973187899
0,10,preprocess,v,32,0.3468910063587863,0.7618480464007973,0.26427823550844787,0.4195875541952887
0,10,preprocess,v,64,0.3468910063587863,0.5884827344687943,0.2041393679846505,0.6536880712321305
1,4,preprocess,v,1,0.47734386122700634,0.9833283835003984,0.46938576743419064,0.03306529020249338
1,4,preprocess,v,2,0.47734386122700634,0.9700685735695364,0.46305627856265674,0.058966962572765014
1,4,preprocess,v,4,0.47734386122700634,0.950753956202978,0.4538365645307816,0.09606691476438589
1,4,preprocess,v,8,0.47734386122700634,0.9174089067868054,0.43791950988966044,0.15836089774823847
1,4,preprocess,v,16,0.47734386122700634,0.8583746379525529,0.4097398640596052,0.2631929809198238
1,4,preprocess,v,32,0.47734386122700634,0.7609962971602598,0.36325691086593276,0.42088463570837353
1,4,preprocess,v,64,0.47734386122700634,0.5833265032203672,0.27844732540325784,0.6597301906406989
1,5,preprocess,v,1,0.9321957282408977,0.9528719083507916,0.8882631225253602,0.09203512627592059
1,5,preprocess,v,2,0.9321957282408977,0.9370914481784764,0.8735526449630524,0.1218596177507657
1,5,preprocess,v,4,0.9321957282408977,0.9168803354879554,0.8547119320499532,0.15933045039549432
1,5,preprocess,v,8,0.9321957282408977,0.8864347922522974,0.8263307267016992,0.21423335908462637
1,5,preprocess,v,16,0.9321957282408977,0.8363098437088803,0.779604463791231,0.30058584531562826
1,5,preprocess,v,32,0.9321957282408977,0.7482420398107877,0.697508033201872,0.44013384985979154
1,5,preprocess,v,64,0.9321957282408977,0.5799234535877004,0.5406021661411627,0.6636887879789144
1,6,preprocess,v,1,1.0410114145968186,0.9588301076766067,0.9981530867504443,0.0806448246128667
1,6,preprocess,v,2,1.0410114145968186,0.9451680442027495,0.9839307227272126,0.10665736821794947
1,6,preprocess,v,4,1.0410114145968186,0.9270729023800952,0.9650934735410812,0.1405358336725464
1,6,preprocess,v,8,1.0410114145968186,0.8976205326543241,0.9344332204696277,0.19427737935736755
1,6,preprocess,v,16,1.0410114145968186,0.8484984522084555,0.8832965740167353,0.2800503765998553
1,6,preprocess,v,32,1.0410114145968186,0.7627704654840687,0.7940527612862442,0.41818121698521715
1,6,preprocess,v,64,1.0410114145968186,0.5949602832044717,0.6193604460476109,0.6460222614092549
1,7,preprocess,v,1,0.5072253196784395,0.9872740506628799,0.5007703959577071,0.02528994888770919
1,7,preprocess,v,2,0.5072253196784395,0.9740364813202764,0.4940559656161396,0.05125293305721479
1,7,preprocess,v,4,0.5072253196784395,0.9537297122586631,0.48375585818722655,0.09039963595500777
1,7,preprocess,v,8,0.5072253196784395,0.9158246723220266,0.46452946218794205,0.1612651695662527
1,7,preprocess,v,16,0.5072253196784395,0.8553605335544503,0.43386052007247666,0.2683583576374461
1,7,preprocess,v,32,0.5072253196784395,0.7592859026380051,0.38512903469289467,0.42348491805518984
1,7,preprocess,v,64,0.5072253196784395,0.5841692798472599,0.2963054497168502,0.6587462524827338
1,8,preprocess,v,1,0.9363031347735767,0.9536515195883917,0.8929069072721961,0.09054877918675142
1,8,preprocess,v,2,0.9363031347735767,0.9379835064733257,0.8782368974768864,0.12018694158400445
1,8,preprocess,v,4,0.9363031347735767,0.9180378059910952,0.859561675590119,0.15720658677105637
1,8,preprocess,v,8,0.9363031347735767,0.8863025824185325,0.8298478862763883,0.21446773239824035
1,8,preprocess,v,16,0.9363031347735767,0.8338624946380411,0.7807480676997126,0.304673340036023
1,8,preprocess,v,32,0.9363031347735767,0.7429515480525856,0.6956278634265174,0.4480229972462667
1,8,preprocess,v,64,0.9363031347735767,0.5739437769301148,0.5373853575234528,0.6705885409231946
1,9,preprocess,v,1,0.8655831096459359,0.9563926290248213,0.8278373058737568,0.08531313914699057
1,9,preprocess,v,2,0.8655831096459359,0.9424454968955822,0.8157649038746873,0.11179648538123921
1,9,preprocess,v,4,0.8655831096459359,0.9233823510964627,0.7992641668542515,0.1473650336835689
1,9,preprocess,v,8,0.8655831096459359,0.8946574221610938,0.7744003535420164,0.19958809697206636
1,9,preprocess,v,16,0.8655831096459359,0.8454559258108881,0.7318123693319722,0.2852042775112541
1,9,preprocess,v,32,0.8655831096459359,0.7565340100336714,0.6548430609578549,0.42765629166237273
1,9,preprocess,v,64,0.8655831096459359,0.5888794815170323,0.5097241328181993,0.6532209562482312
1,10,preprocess,v,1,0.9659733166158961,0.9545301366146348,0.9220506418754632,0.08887221829444669
1,10,preprocess,v,2,0.9659733166158961,0.9354996762649903,0.9036677249747899,0.12484035570809826
1,10,preprocess,v,4,0.9659733166158961,0.9117494848036749,0.8807256737586404,0.1687128769602334
1,10,preprocess,v,8,0.9659733166158961,0.8761779218985402,0.8463644931619565,0.23231224917755566
1,10,preprocess,v,16,0.9659733166158961,0.8202593325695718,0.7923486279673706,0.32717462733252056
1,10,preprocess,v,32,0.9659733166158961,0.7302602549318128,0.7054119204492529,0.46671996006692384
1,10,preprocess,v,64,0.9659733166158961,0.5635438543769701,0.5443683260710274,0.6824183241939483
2,4,preprocess,v,1,0.8724173860012043,0.9655343377360536,0.8423489430220917,0.06774344265260046
2,4,preprocess,v,2,0.8724173860012043,0.9507286646825602,0.8294322164387747,0.09611500615091595
2,4,preprocess,v,4,0.8724173860012043,0.932197257846826,0.8132650949282186,0.13100827246285818
2,4,preprocess,v,8,0.8724173860012043,0.9025861361856385,0.7874318375720017,0.18533826676548004
2,4,preprocess,v,16,0.8724173860012043,0.8532917004745467,0.7444265148245267,0.2718932739012564
2,4,preprocess,v,32,0.8724173860012043,0.7683694080932626,0.6703388304920167,0.40960845270640933
