part,target,source,context_index,method,original_gap,delta_recovery_error,final_kv_error,explained_delta_energy,cosine
t3,3,raw,43,position_r4,0.4496456565974215,0.39005809401465286,0.17538792779435736,0.8478546832936562,0.9210672224124614
t3,3,raw,43,position_r8,0.4496456565974215,0.39264625729339914,0.17655168417121056,0.8458289166334858,0.9210162673830438
t3,3,raw,43,cached_prefix_r4,0.4496456565974215,0.40135127627455086,0.18046585814668356,0.8389171530327891,0.9194457112915617
t3,3,raw,43,cached_prefix_r8,0.4496456565974215,0.3972805075901193,0.1786354546887161,0.8421681982889372,0.921229604676328
t3,3,raw,44,mean,0.395387340178001,0.6658859545147928,0.26328287641749326,0.5565958955799233,0.7637869412201375
t3,3,raw,44,oracle_r4,0.395387340178001,0.4409170033691583,0.17433300120138617,0.8055921961399617,0.8984890219189362
t3,3,raw,44,oracle_r8,0.395387340178001,0.4286525822845045,0.16948380436990193,0.8162569637008261,0.9034695751991686
t3,3,raw,44,position_r4,0.395387340178001,0.596803261985651,0.23596845436606123,0.6438258664832863,0.8025742074144994
t3,3,raw,44,position_r8,0.395387340178001,0.6015598657021569,0.23784915525781128,0.638125727976403,0.7995678435594514
t3,3,raw,44,cached_prefix_r4,0.395387340178001,0.6005895613074587,0.2374655091840285,0.6392921788485144,0.8053707745252022
t3,3,raw,44,cached_prefix_r8,0.395387340178001,0.588059121121759,0.23251113176774518,0.6541864700655045,0.8133886935606798
t3,3,raw,45,mean,0.47595284040472197,0.45653888785013935,0.21729098042748665,0.7915722438805579,0.8989359438718542
t3,3,raw,45,oracle_r4,0.47595284040472197,0.3775921916402174,0.1797160761258056,0.8574241368123373,0.9260142465851362
t3,3,raw,45,oracle_r8,0.47595284040472197,0.3641698257779874,0.17332766296872584,0.8673803379928303,0.9313354334074846
t3,3,raw,45,position_r4,0.47595284040472197,0.42823316202783296,0.20381878982264262,0.8166163589396438,0.9045927489565242
t3,3,raw,45,position_r8,0.47595284040472197,0.429864717224419,0.20459533315273487,0.8152163248855703,0.9037008455607004
t3,3,raw,45,cached_prefix_r4,0.47595284040472197,0.4458334203864675,0.2121956827802917,0.8012325612665033,0.9031146290327303
t3,3,raw,45,cached_prefix_r8,0.47595284040472197,0.4451811014645533,0.21188520973655686,0.8018137868988071,0.9028929167100289
t3,3,raw,46,mean,0.3628812019890316,0.7278414883715009,0.264119994157736,0.4702467678051584,0.7379282005724496
t3,3,raw,46,oracle_r4,0.3628812019890316,0.5418693931928459,0.1966342167228871,0.7063775607208169,0.8407552815807616
t3,3,raw,46,oracle_r8,0.3628812019890316,0.506947319072193,0.18396165249003454,0.743004415685516,0.8623371712257584
t3,3,raw,46,position_r4,0.3628812019890316,0.6146865333018688,0.2230581880510531,0.6221604657773304,0.7887974032970987
t3,3,raw,46,position_r8,0.3628812019890316,0.6271714484968072,0.22758872908372343,0.6066559741904167,0.7797956930777418
t3,3,raw,46,cached_prefix_r4,0.3628812019890316,0.8184890090727218,0.2970142754271207,0.33007574202715384,0.7033912999459222
t3,3,raw,46,cached_prefix_r8,0.3628812019890316,0.8218874443190497,0.29824750369419006,0.324501028870701,0.6983271469138016
t3,3,raw,47,mean,0.3735935936499806,0.6916944000442034,0.2584125966200812,0.5215588569474896,0.7564488019440125
