part,example,target,source,kind,context_index,prefix_tokens,layer,rank,original_gap,delta_norm2,base_norm2,error_norm2,prediction_norm2,target_prediction_dot,delta_recovery_error,final_kv_error,explained_delta_energy,cosine
t3,0,3,preprocess,k,45,1003,26,8,0.21420060509254735,11123.640625,242440.71875,1618.42431640625,8966.2607421875,9235.7392578125,0.3814369163066699,0.08170401827752405,0.8545058788784585,0.9247886833231085
t3,0,3,preprocess,k,45,1003,26,16,0.21420060509254735,11123.640625,242440.71875,1354.13427734375,9216.126953125,9492.8173828125,0.34890515894962665,0.07473569616692144,0.8782651900583358,0.9375564527473932
t3,0,3,preprocess,k,45,1003,26,32,0.21420060509254735,11123.640625,242440.71875,927.2097778320312,9821.32421875,10008.8779296875,0.28871245963515174,0.06184238355160715,0.9166451156514209,0.9575840281705905
t3,0,3,preprocess,k,46,297,26,0,0.19933960517137714,9635.041015625,242474.671875,5699.9189453125,5770.0537109375,4852.587890625,0.7691438221279533,0.15332082582299014,0.4084177808824033,0.6508137177144928
t3,0,3,preprocess,k,46,297,26,1,0.19933960517137714,9635.041015625,242474.671875,3564.693359375,6320.8564453125,6195.6025390625,0.6082530630954586,0.12124892544172947,0.6300282112349921,0.7939054835832663
t3,0,3,preprocess,k,46,297,26,2,0.19933960517137714,9635.041015625,242474.671875,3523.6025390625,6488.88134765625,6300.16015625,0.6047371839795139,0.12054807148692677,0.6342929383125275,0.7967826879977626
t3,0,3,preprocess,k,46,297,26,4,0.19933960517137714,9635.041015625,242474.671875,3209.722412109375,7362.6875,6894.00341796875,0.5771742582595116,0.1150536887565335,0.6668698756025826,0.8185147813284818
t3,0,3,preprocess,k,46,297,26,8,0.19933960517137714,9635.041015625,242474.671875,3104.5498046875,7113.8173828125,6822.1552734375,0.5676393993429681,0.11315301374474494,0.6777855123135543,0.8240308285268821
t3,0,3,preprocess,k,46,297,26,16,0.19933960517137714,9635.041015625,242474.671875,2694.9599609375,7443.2109375,7191.646484375,0.5288705385724598,0.10542484434580773,0.7202959534300764,0.849222287568301
t3,0,3,preprocess,k,46,297,26,32,0.19933960517137714,9635.041015625,242474.671875,2152.98388671875,8013.9482421875,7748.0029296875,0.4727087114249698,0.09422956789652394,0.7765464741429446,0.881738340916374
t3,0,3,preprocess,k,47,434,26,0,0.22048870288097483,11784.9296875,242412.109375,5913.8291015625,5770.0537109375,5820.57666015625,0.7083874967770145,0.15619144030146465,0.4981871544099953,0.7058502741327924
t3,0,3,preprocess,k,47,434,26,1,0.22048870288097483,11784.9296875,242412.109375,3869.390625,6264.119140625,7089.82958984375,0.5730041794308979,0.12634094826809603,0.6716662103547234,0.8251678413497235
t3,0,3,preprocess,k,47,434,26,2,0.22048870288097483,11784.9296875,242412.109375,3816.456298828125,6461.12255859375,7214.7978515625,0.5690712549866153,0.12547378285884728,0.6761579067479586,0.8268118261914648
t3,0,3,preprocess,k,47,434,26,4,0.22048870288097483,11784.9296875,242412.109375,2403.15966796875,8960.703125,9171.236328125,0.4515728422980912,0.09956671025458112,0.7960819680988233,0.8924694161122072
t3,0,3,preprocess,k,47,434,26,8,0.22048870288097483,11784.9296875,242412.109375,2212.23974609375,9369.810546875,9471.2509765625,0.43326399263479415,0.09552981574107798,0.812282312686157,0.9013188258993413
t3,0,3,preprocess,k,47,434,26,16,0.22048870288097483,11784.9296875,242412.109375,1811.830810546875,9663.314453125,9818.20703125,0.39209862782229776,0.08645331784994854,0.8462586660598712,0.9200377170720236
t3,0,3,preprocess,k,47,434,26,32,0.22048870288097483,11784.9296875,242412.109375,1646.5277099609375,9700.8798828125,9919.6416015625,0.37378427272003145,0.08241520944934828,0.8602853174671572,0.9277413629466463
t3,0,3,preprocess,k,48,1095,26,0,0.18669689137834167,8448.373046875,242381.1875,2313.68212890625,5770.0537109375,5952.37255859375,0.5233175564541421,0.09770176099369816,0.7261387351068658,0.852537785922547
t3,0,3,preprocess,k,48,1095,26,1,0.18669689137834167,8448.373046875,242381.1875,1898.275634765625,6884.310546875,6717.20458984375,0.4740161030049824,0.08849733289430602,0.7753087340919699,0.8807888505022897
