target,source,kind,layer,rank,subspace_overlap
1,preprocess,k,8,1,0.11392059922218323
1,preprocess,k,8,2,0.40234336256980896
1,preprocess,k,8,4,0.2964104413986206
1,preprocess,k,8,8,0.2553356885910034
1,preprocess,k,8,16,0.15579146146774292
1,preprocess,k,8,32,0.09111527353525162
1,preprocess,k,9,1,0.12995877861976624
1,preprocess,k,9,2,0.4301838278770447
1,preprocess,k,9,4,0.30293476581573486
1,preprocess,k,9,8,0.27369651198387146
1,preprocess,k,9,16,0.16650396585464478
1,preprocess,k,9,32,0.09669692814350128
1,preprocess,k,10,1,0.35016006231307983
1,preprocess,k,10,2,0.4163881540298462
1,preprocess,k,10,4,0.2995450496673584
1,preprocess,k,10,8,0.2667968273162842
1,preprocess,k,10,16,0.16074877977371216
1,preprocess,k,10,32,0.09208253026008606
1,preprocess,k,11,1,0.4353441298007965
1,preprocess,k,11,2,0.4369848370552063
1,preprocess,k,11,4,0.3442550301551819
1,preprocess,k,11,8,0.2901585102081299
1,preprocess,k,11,16,0.1731930524110794
1,preprocess,k,11,32,0.09995371103286743
1,preprocess,k,12,1,0.4414846897125244
1,preprocess,k,12,2,0.4321298599243164
1,preprocess,k,12,4,0.36425864696502686
1,preprocess,k,12,8,0.3034932613372803
1,preprocess,k,12,16,0.18228274583816528
1,preprocess,k,12,32,0.10483381897211075
1,preprocess,k,13,1,0.4476053714752197
1,preprocess,k,13,2,0.4249458312988281
1,preprocess,k,13,4,0.32311391830444336
1,preprocess,k,13,8,0.28348684310913086
1,preprocess,k,13,16,0.17618218064308167
1,preprocess,k,13,32,0.10061271488666534
1,preprocess,k,14,1,0.34703221917152405
1,preprocess,k,14,2,0.4378044903278351
1,preprocess,k,14,4,0.3149336278438568
1,preprocess,k,14,8,0.2782761752605438
1,preprocess,k,14,16,0.16777250170707703
1,preprocess,k,14,32,0.09519914537668228
1,preprocess,k,15,1,0.4647465646266937
1,preprocess,k,15,2,0.4320634603500366
1,preprocess,k,15,4,0.3681286573410034
1,preprocess,k,15,8,0.2886531352996826
1,preprocess,k,15,16,0.17547930777072906
1,preprocess,k,15,32,0.10009061545133591
1,preprocess,k,16,1,0.4667777121067047
1,preprocess,k,16,2,0.421397864818573
1,preprocess,k,16,4,0.3755102753639221
1,preprocess,k,16,8,0.29430365562438965
1,preprocess,k,16,16,0.1741287112236023
