example_id,sub_q_idx,doc_rank,chunk_id,kind,doc_len,full_prompt_len,layer,head,diff_l2,base_l2,relative_l2,energy_share
2,0,1,2,value,122,1006,18,6,7.904468059539795,26.109760284423828,0.30273997054867724,1.792257942621102e-05
2,0,1,2,value,122,1006,18,7,9.543021202087402,31.716665267944336,0.30088349835857814,2.612320253758114e-05
2,0,1,2,value,122,1006,19,0,8.355048179626465,30.473873138427734,0.2741708657010331,2.0024093208847887e-05
2,0,1,2,value,122,1006,19,1,8.48402214050293,30.253814697265625,0.28042817824455857,2.0647082748614886e-05
2,0,1,2,value,122,1006,19,2,10.243390083312988,32.10283660888672,0.3190805288675671,3.0098303737706633e-05
2,0,1,2,value,122,1006,19,3,8.714395523071289,28.695192337036133,0.30368834683932555,2.17835894173734e-05
2,0,1,2,value,122,1006,19,4,10.019573211669922,30.589168548583984,0.32755297666086497,2.8797387112138947e-05
2,0,1,2,value,122,1006,19,5,9.664850234985352,28.63174057006836,0.3375572019917174,2.6794450366301203e-05
2,0,1,2,value,122,1006,19,6,10.977616310119629,33.652435302734375,0.3262057028374209,3.4567729050900626e-05
2,0,1,2,value,122,1006,19,7,9.647384643554688,26.15958595275879,0.3687896536656348,2.6697708374411028e-05
2,0,1,2,value,122,1006,20,0,15.559699058532715,46.83021926879883,0.3322576597222813,6.94476586581882e-05
2,0,1,2,value,122,1006,20,1,10.483437538146973,30.72686195373535,0.3411815223413076,3.1525509094956574e-05
2,0,1,2,value,122,1006,20,2,15.935230255126953,34.57514572143555,0.4608868573834276,7.284037109749808e-05
2,0,1,2,value,122,1006,20,3,14.527023315429688,33.78954315185547,0.42992659741336403,6.053530183462392e-05
2,0,1,2,value,122,1006,20,4,17.792917251586914,40.84078598022461,0.43566539733593596,9.081332398368721e-05
2,0,1,2,value,122,1006,20,5,9.842291831970215,33.31132888793945,0.2954638004709975,2.778734863085582e-05
2,0,1,2,value,122,1006,20,6,10.958815574645996,39.239646911621094,0.27927915863585884,3.444942610201233e-05
2,0,1,2,value,122,1006,20,7,14.425240516662598,39.10323715209961,0.3689014405777318,5.969003441022149e-05
2,0,1,2,value,122,1006,21,0,11.904574394226074,38.29426193237305,0.3108709710935027,4.065209017731858e-05
2,0,1,2,value,122,1006,21,1,16.967195510864258,44.9460334777832,0.37750151009990135,8.258006727403477e-05
2,0,1,2,value,122,1006,21,2,13.162425994873047,40.89468002319336,0.3218615719063622,4.969665777373817e-05
2,0,1,2,value,122,1006,21,3,10.201933860778809,36.96231460571289,0.27600906408609277,2.9855165211363312e-05
2,0,1,2,value,122,1006,21,4,11.371472358703613,39.30426025390625,0.28931907852338146,3.709267643710928e-05
2,0,1,2,value,122,1006,21,5,14.199530601501465,34.62410354614258,0.41010536439095774,5.783671127220141e-05
2,0,1,2,value,122,1006,21,6,14.589483261108398,37.808753967285156,0.38587580203600147,6.105701484099647e-05
2,0,1,2,value,122,1006,21,7,11.946532249450684,36.826534271240234,0.3244001230596394,4.093915379175663e-05
2,0,1,2,value,122,1006,22,0,12.690289497375488,32.62989807128906,0.3889160018106597,4.619536582564784e-05
2,0,1,2,value,122,1006,22,1,9.119380950927734,39.945457458496094,0.2282958196286192,2.3855316821079802e-05
2,0,1,2,value,122,1006,22,2,11.361638069152832,35.823116302490234,0.3171593999029814,3.702853193349428e-05
2,0,1,2,value,122,1006,22,3,14.020791053771973,39.57650375366211,0.3542705828953938,5.638974170436985e-05
2,0,1,2,value,122,1006,22,4,14.158609390258789,39.04777908325195,0.3625970470707569,5.750381639898801e-05
2,0,1,2,value,122,1006,22,5,11.999844551086426,32.928253173828125,0.36442396405721633,4.1305335526109024e-05
2,0,1,2,value,122,1006,22,6,11.356465339660645,36.83987045288086,0.3082656154881312,3.699485552197508e-05
2,0,1,2,value,122,1006,22,7,13.935246467590332,39.0070915222168,0.35724905200002016,5.5703747861819766e-05
2,0,1,2,value,122,1006,23,0,17.631317138671875,40.83897018432617,0.4317277604967196,8.917121593720212e-05
2,0,1,2,value,122,1006,23,1,13.178497314453125,48.10858154296875,0.273932360751113,4.981807931415329e-05
2,0,1,2,value,122,1006,23,2,11.775140762329102,35.54598617553711,0.3312649902067556,3.9772883723163113e-05
2,0,1,2,value,122,1006,23,3,10.770463943481445,37.089088439941406,0.2903944096906516,3.327539128763833e-05
2,0,1,2,value,122,1006,23,4,15.479453086853027,43.165225982666016,0.35860933736496126,6.873317073726666e-05
2,0,1,2,value,122,1006,23,5,18.066150665283203,42.897735595703125,0.42114462254022533,9.362382055251878e-05
2,0,1,2,value,122,1006,23,6,17.09433937072754,46.319515228271484,0.36905263983189324,8.382234781344222e-05
2,0,1,2,value,122,1006,23,7,19.599233627319336,39.22970962524414,0.49960180216849776,0.000110187651535343
2,0,1,2,value,122,1006,24,0,18.055055618286133,49.5018310546875,0.36473510643150386,9.350874999639198e-05
2,0,1,2,value,122,1006,24,1,21.575265884399414,60.196006774902344,0.35841689574323193,0.00013352628011225768
2,0,1,2,value,122,1006,24,2,18.91663360595703,57.31604766845703,0.33004078919361995,0.00010264606997603268
2,0,1,2,value,122,1006,24,3,18.71586799621582,55.86427307128906,0.3350239243663288,0.0001004788392631057
2,0,1,2,value,122,1006,24,4,17.5473690032959,51.981815338134766,0.33756745294777163,8.832400951483985e-05
2,0,1,2,value,122,1006,24,5,17.387609481811523,51.52634048461914,0.33745089052077104,8.67230449916561e-05
2,0,1,2,value,122,1006,24,6,19.22203826904297,49.87702560424805,0.3853886240442821,0.00010598726547180463
2,0,1,2,value,122,1006,24,7,20.445863723754883,55.697364807128906,0.3670885291351805,0.00011991278990778392
2,0,1,2,value,122,1006,25,0,15.367856979370117,46.73426818847656,0.32883486946649343,6.774573493197588e-05
2,0,1,2,value,122,1006,25,1,17.47599220275879,53.30431365966797,0.32785324494256546,8.760694793522671e-05
2,0,1,2,value,122,1006,25,2,18.241405487060547,42.167606353759766,0.43259286130747293,9.544906980134155e-05
