example,target,source,kind,rank,original_gap,delta_recovery_error,final_kv_error,explained_delta_energy
0,8,preprocess,k,4,0.26320906073081907,0.8362165561093119,0.22009977430109223,0.3007418712886821
0,8,preprocess,k,8,0.26320906073081907,0.7380827069448413,0.1942700560366121,0.45523391770897537
0,8,preprocess,k,16,0.26320906073081907,0.6401361029425762,0.16848962239540238,0.5902257697094915
0,8,preprocess,k,32,0.26320906073081907,0.5101057238196947,0.1342644484399964,0.7397921505263854
0,8,preprocess,k,64,0.26320906073081907,0.3558261833598306,0.09365667550557322,0.8733877272355762
0,9,preprocess,k,1,0.20273467808566012,0.9663544650898712,0.19591356139663532,0.06615904780086879
0,9,preprocess,k,2,0.20273467808566012,0.8743974334512035,0.17727068218965716,0.23542912837394825
0,9,preprocess,k,4,0.20273467808566012,0.7692889823339009,0.15596155418830845,0.4081944616596712
0,9,preprocess,k,8,0.20273467808566012,0.6783684475857422,0.13752880884476446,0.5398162493201101
0,9,preprocess,k,16,0.20273467808566012,0.5813358453515703,0.11785693546700571,0.662048634909375
0,9,preprocess,k,32,0.20273467808566012,0.4624426603343018,0.09375316387595094,0.7861467859029336
0,9,preprocess,k,64,0.20273467808566012,0.3193295088233606,0.06473916517455598,0.8980286647946313
0,10,preprocess,k,1,0.19075516494701814,0.9668872997914693,0.1844387463568987,0.06512894950196135
0,10,preprocess,k,2,0.19075516494701814,0.9265613114286715,0.17674635579510167,0.14148413616358035
0,10,preprocess,k,4,0.19075516494701814,0.8773697704231939,0.16736281527660377,0.23022228594755212
0,10,preprocess,k,8,0.19075516494701814,0.763796335563857,0.14569809597641153,0.4166151577792241
0,10,preprocess,k,16,0.19075516494701814,0.6430185995849146,0.12265911902782099,0.5865270805878553
0,10,preprocess,k,32,0.19075516494701814,0.5105212148926649,0.09738455855580237,0.7393680891445176
0,10,preprocess,k,64,0.19075516494701814,0.3550258998633652,0.06772302408889977,0.8739566104262078
1,4,preprocess,k,1,0.23868837257850165,0.9321091236741291,0.2224836097953512,0.13117258156344713
1,4,preprocess,k,2,0.23868837257850165,0.8849431195706563,0.21122563303486233,0.2168756751245552
1,4,preprocess,k,4,0.23868837257850165,0.8120869933143378,0.19383572282636782,0.3405147152896787
1,4,preprocess,k,8,0.23868837257850165,0.7282244743119148,0.17381871464534585,0.46968911501313526
