part,target,source,context_index,method,original_gap,delta_recovery_error,final_kv_error,explained_delta_energy,cosine
t1,1,preprocess,48,position_r4,0.363035817685277,0.5457663389519446,0.1981327291265192,0.7021391032669911,0.8381257620621169
t1,1,preprocess,48,position_r8,0.363035817685277,0.5453811316183974,0.1979928850672065,0.7025594212746362,0.838412310304018
t1,1,preprocess,48,cached_prefix_r4,0.363035817685277,0.5993758258949441,0.2175948930545592,0.6407486193327536,0.800570131670126
t1,1,preprocess,48,cached_prefix_r8,0.363035817685277,0.5937011146976432,0.2155347696349193,0.6475189864067759,0.8047303272674282
t1,1,preprocess,49,mean,0.3674165889169219,0.8002003131568014,0.2940068695103247,0.3596794588237569,0.6202747817127684
t1,1,preprocess,49,oracle_r4,0.3674165889169219,0.667860791698566,0.245383133957242,0.5539619629117645,0.7498355014962125
t1,1,preprocess,49,oracle_r8,0.3674165889169219,0.6630443870389574,0.243613506986365,0.5603721408161333,0.7544693920355495
t1,1,preprocess,49,position_r4,0.3674165889169219,0.7275527298632412,0.2673149422635468,0.4706670252685456,0.6922496607638597
t1,1,preprocess,49,position_r8,0.3674165889169219,0.7260941376115683,0.2667790312738164,0.4727873033261129,0.6940274386319693
t1,1,preprocess,49,cached_prefix_r4,0.3674165889169219,1.242367358563364,0.4564663770650776,-0.5434766536237099,0.3385760485847709
t1,1,preprocess,49,cached_prefix_r8,0.3674165889169219,0.9973248383954056,0.3664336901653603,0.0053431667195781,0.4893337800811462
t5,5,preprocess,40,mean,0.9423921166392888,0.2079065401812233,0.1959294844645343,0.9567748705498734,0.9782085292071616
t5,5,preprocess,40,oracle_r4,0.9423921166392888,0.1811982629676347,0.1707598145694318,0.967167189497512,0.9834509840580936
t5,5,preprocess,40,oracle_r8,0.9423921166392888,0.1511465447478299,0.1424393122276224,0.9771547220107922,0.9885156219668392
t5,5,preprocess,40,position_r4,0.9423921166392888,0.1908193085302581,0.1798266120614754,0.9635879914920342,0.9816753321451848
t5,5,preprocess,40,position_r8,0.9423921166392888,0.1896872234739827,0.1787597440290763,0.9640187572507312,0.9818786734953006
t5,5,preprocess,40,cached_prefix_r4,0.9423921166392888,0.2128100101000408,0.2005504758602059,0.9547118996012204,0.9771480235999218
t5,5,preprocess,40,cached_prefix_r8,0.9423921166392888,0.2111705580781443,0.1990054691991623,0.9554069954009652,0.9775032728817896
t5,5,preprocess,41,mean,0.9339640848727956,0.1797486951677041,0.1678788255893838,0.9676904065855078,0.9837421166827368
t5,5,preprocess,41,oracle_r4,0.9339640848727956,0.1537734333670814,0.143618863972434,0.9763537311904996,0.9881090310902092
t5,5,preprocess,41,oracle_r8,0.9339640848727956,0.1444987707594681,0.1349566621976105,0.9791201052490028,0.9895052411294194
t5,5,preprocess,41,position_r4,0.9339640848727956,0.1682591220880418,0.157147976982458,0.9716888678341614,0.9858523651006308
t5,5,preprocess,41,position_r8,0.9339640848727956,0.1629432698556308,0.1521831619168952,0.9734494908087552,0.986711932188891
t5,5,preprocess,41,cached_prefix_r4,0.9339640848727956,0.1712152986198493,0.15990893969171,0.9706853215185158,0.985281645161502
t5,5,preprocess,41,cached_prefix_r8,0.9339640848727956,0.1710630685700917,0.159766762292598,0.970737426571384,0.985304464375144
t5,5,preprocess,42,mean,0.9393064864672072,0.1896091551998101,0.178101109372749,0.9640483682644144,0.9819253439379028
t5,5,preprocess,42,oracle_r4,0.9393064864672072,0.159731889143584,0.1500371995682293,0.9744857235906218,0.9871604759836442
t5,5,preprocess,42,oracle_r8,0.9393064864672072,0.1416694790411791,0.1330710605978096,0.9799297587082008,0.9899221704948512
t5,5,preprocess,42,position_r4,0.9393064864672072,0.1702360370403078,0.1599038138224329,0.9710196916928108,0.9854483985880438
t5,5,preprocess,42,position_r8,0.9393064864672072,0.1630696017393051,0.1531723346593534,0.9734083049885844,0.9866374419781028
t5,5,preprocess,42,cached_prefix_r4,0.9393064864672072,0.1722005926564895,0.1617491336557378,0.9703469558887536,0.9851162608582336
t5,5,preprocess,42,cached_prefix_r8,0.9393064864672072,0.17038496684967,0.1600437045583951,0.9709689630716368,0.9854300542111658
t5,5,preprocess,43,mean,0.9332083203616374,0.1864501485265738,0.1739968299376618,0.9652363421144186,0.982480229920985
t5,5,preprocess,43,oracle_r4,0.9332083203616374,0.1628541408438689,0.1519768392408444,0.9734785288100052,0.9866564477301816
t5,5,preprocess,43,oracle_r8,0.9332083203616374,0.1427933421604432,0.1332559349963718,0.9796100614346506,0.9897538558788268
t5,5,preprocess,43,position_r4,0.9332083203616374,0.1966893987212783,0.1835521834136245,0.961313280430662,0.9809244921384784
t5,5,preprocess,43,position_r8,0.9332083203616374,0.1856702311145398,0.1732690045195567,0.9655265652778734,0.9829567127369488
t5,5,preprocess,43,cached_prefix_r4,0.9332083203616374,0.1758455585253834,0.1641005383145271,0.969078339546896,0.9844307704108622
t5,5,preprocess,43,cached_prefix_r8,0.9332083203616374,0.1752574196739294,0.1635516822448223,0.9692848368492362,0.9845341598496316
t5,5,preprocess,44,mean,0.9345102419175924,0.1937429925716127,0.1810548108579361,0.962463652829396,0.9810678653665796
t5,5,preprocess,44,oracle_r4,0.9345102419175924,0.157547420742161,0.1472296782712496,0.9751788102174924,0.9875122290859532
t5,5,preprocess,44,oracle_r8,0.9345102419175924,0.1455965921742769,0.1360615065751605,0.9788016323472372,0.9893446413902623
t5,5,preprocess,44,position_r4,0.9345102419175924,0.1932786912988187,0.1806209165631748,0.962643347489816,0.9811488664500806
t5,5,preprocess,44,position_r8,0.9345102419175924,0.1919267489247019,0.1793575125680802,0.9631641230471945,0.9814164019685258
t5,5,preprocess,44,cached_prefix_r4,0.9345102419175924,0.1673158896004487,0.1563584124671725,0.9720053930872103,0.9859159908053018
t5,5,preprocess,44,cached_prefix_r8,0.9345102419175924,0.161089646727654,0.1505399247338794,0.9740501257171597,0.9869555226693691
t5,5,preprocess,45,mean,0.9327580521279392,0.2105174334660931,0.196361831178806,0.9556824102068492,0.97759011757089
t5,5,preprocess,45,oracle_r4,0.9327580521279392,0.1816941802843589,0.1694767096850212,0.9669872248507948,0.9833735573701506
t5,5,preprocess,45,oracle_r8,0.9327580521279392,0.1681089563767347,0.1568049826952237,0.9717393787859252,0.9857743379333428
t5,5,preprocess,45,position_r4,0.9327580521279392,0.2200060327857063,0.2052123985975909,0.9515973455378948,0.9755298739256212
t5,5,preprocess,45,position_r8,0.9327580521279392,0.217213545931863,0.2026076839992072,0.9528182754637065,0.9761472667015344
t5,5,preprocess,45,cached_prefix_r4,0.9327580521279392,0.2242420354023342,0.2091635641470857,0.9497155095586184,0.9749876864354476
