part,target,source,context_index,method,original_gap,delta_recovery_error,final_kv_error,explained_delta_energy,cosine
t5,5,preprocess,44,oracle_r8,0.9345102419175925,0.1455965921742769,0.13606150657516053,0.9788016323472373,0.9893446413902625
t5,5,preprocess,44,position_r4,0.9345102419175925,0.19327869129881878,0.1806209165631748,0.962643347489816,0.9811488664500806
t5,5,preprocess,44,position_r8,0.9345102419175925,0.19192674892470193,0.17935751256808022,0.9631641230471945,0.9814164019685258
t5,5,preprocess,44,cached_prefix_r4,0.9345102419175925,0.1673158896004487,0.1563584124671725,0.9720053930872105,0.9859159908053018
t5,5,preprocess,44,cached_prefix_r8,0.9345102419175925,0.16108964672765402,0.15053992473387945,0.9740501257171597,0.9869555226693691
t5,5,preprocess,45,mean,0.9327580521279392,0.21051743346609314,0.19636183117880607,0.9556824102068491,0.9775901175708901
t5,5,preprocess,45,oracle_r4,0.9327580521279392,0.18169418028435896,0.16947670968502127,0.9669872248507949,0.9833735573701506
t5,5,preprocess,45,oracle_r8,0.9327580521279392,0.1681089563767347,0.15680498269522375,0.9717393787859251,0.9857743379333429
t5,5,preprocess,45,position_r4,0.9327580521279392,0.22000603278570632,0.20521239859759097,0.9515973455378948,0.9755298739256212
t5,5,preprocess,45,position_r8,0.9327580521279392,0.21721354593186307,0.20260768399920723,0.9528182754637065,0.9761472667015344
t5,5,preprocess,45,cached_prefix_r4,0.9327580521279392,0.22424203540233428,0.2091635641470857,0.9497155095586183,0.9749876864354476
t5,5,preprocess,45,cached_prefix_r8,0.9327580521279392,0.23112626053653865,0.21558488057367636,0.9465806516903961,0.9736232450044069
t5,5,preprocess,46,mean,0.9297718043073001,0.16936050758158988,0.15746662471253497,0.9713170184717063,0.985567110571839
t5,5,preprocess,46,oracle_r4,0.9297718043073001,0.14576650504130387,0.13552958639982224,0.9787521260080435,0.989319564829875
t5,5,preprocess,46,oracle_r8,0.9297718043073001,0.1300117707921045,0.12088127871056215,0.9830969394555013,0.9915153656556457
t5,5,preprocess,46,position_r4,0.9297718043073001,0.16621526935629,0.15454227089282163,0.972372484232816,0.9860938203836659
t5,5,preprocess,46,position_r8,0.9297718043073001,0.16597781272383666,0.15432149041122076,0.972451365683411,0.9861352461515569
t5,5,preprocess,46,cached_prefix_r4,0.9297718043073001,0.16009209710977176,0.14884911798509198,0.9743705204429954,0.987131025749028
t5,5,preprocess,46,cached_prefix_r8,0.9297718043073001,0.15378108714961577,0.14298131886743642,0.9763513772350823,0.9881271893252326
t5,5,preprocess,47,mean,0.9342714296784166,0.18448333411022455,0.1723575083110005,0.9659658994355753,0.98286101379294
t5,5,preprocess,47,oracle_r4,0.9342714296784166,0.161129239802809,0.15053844523356677,0.9740373680805688,0.9869336782746896
t5,5,preprocess,47,oracle_r8,0.9342714296784166,0.1570469808887832,0.14672450736164244,0.9753362457937181,0.987593560873561
t5,5,preprocess,47,position_r4,0.9342714296784166,0.18700982240255326,0.17471793413994022,0.9650273263249655,0.9823640228787152
t5,5,preprocess,47,position_r8,0.9342714296784166,0.1860992906023066,0.17386725029315608,0.9653670540373183,0.9825395623526316
t5,5,preprocess,47,cached_prefix_r4,0.9342714296784166,0.16361261589011822,0.15285859256108636,0.9732309119215926,0.9865277018692356
t5,5,preprocess,47,cached_prefix_r8,0.9342714296784166,0.1641310905863162,0.15334298865675536,0.9730609851029465,0.9864392483377916
t5,5,preprocess,48,mean,0.9311058159463037,0.27220171208423116,0.2534485972321689,0.9259062279384134,0.9623856268757401
t5,5,preprocess,48,oracle_r4,0.9311058159463037,0.19497339702871624,0.18154086392824548,0.9619853744510826,0.9808155163113964
t5,5,preprocess,48,oracle_r8,0.9311058159463037,0.18316741530548983,0.17054824568279356,0.9664496979703062,0.9831012406956128
t5,5,preprocess,48,position_r4,0.9311058159463037,0.2575386250803547,0.23979571164313282,0.9336738565917205,0.9662696630503094
t5,5,preprocess,48,position_r8,0.9311058159463037,0.25377666857985626,0.23629293206618174,0.9355974024845097,0.9672737857001951
t5,5,preprocess,48,cached_prefix_r4,0.9311058159463037,0.21018143020171492,0.19570115206472885,0.9558237663983616,0.9777133582697393
t5,5,preprocess,48,cached_prefix_r8,0.9311058159463037,0.20510683209041838,0.19097616424971053,0.957931187429833,0.9788147441805123
t5,5,preprocess,49,mean,0.9349915347438921,0.1790066069391132,0.1673696621512981,0.9679566346721459,0.9838875890222513
t5,5,preprocess,49,oracle_r4,0.9349915347438921,0.1748688213914489,0.16350086769164635,0.9694208953051655,0.9846070304373795
t5,5,preprocess,49,oracle_r8,0.9349915347438921,0.15559511794573483,0.14548011812673953,0.9757901592714529,0.987830035868721
t5,5,preprocess,49,position_r4,0.9349915347438921,0.18393023613426568,0.17197321376898356,0.9661696682355932,0.9829978936055479
t5,5,preprocess,49,position_r8,0.9349915347438921,0.1838412189629432,0.17188998346735018,0.9662024062102191,0.9830117533331818
t5,5,preprocess,49,cached_prefix_r4,0.9349915347438921,0.1884189864734727,0.17617015733772087,0.9644982855363093,0.9821541174629305
t5,5,preprocess,49,cached_prefix_r8,0.9349915347438921,0.1757218984053169,0.16429848747809753,0.9691218144208315,0.9845007856519643
