example_id,sub_q_idx,doc_rank,chunk_id,kind,doc_len,full_prompt_len,token,layer0_delta_l2,layer0_base_l2,layer0_relative_l2,layer0_energy_share
0,0,1,2,key,92,968,22,299.39776611328125,585.1611938476562,0.511650070546591,0.011101788112993755
0,0,1,2,key,92,968,23,292.6108703613281,605.9962768554688,0.482859188310023,0.010604171612923841
0,0,1,2,key,92,968,24,282.3368225097656,578.931396484375,0.48768614765805884,0.009872584182974918
0,0,1,2,key,92,968,25,288.7012634277344,596.423828125,0.4840538721186491,0.010322697456134516
0,0,1,2,key,92,968,26,292.7187194824219,588.6383666992188,0.497281074497127,0.01061198964069521
0,0,1,2,key,92,968,27,308.1613464355469,588.5985717773438,0.5235509585166276,0.011761213598488635
0,0,1,2,key,92,968,28,290.01287841796875,593.8951416015625,0.4883233724321904,0.010416705369774445
0,0,1,2,key,92,968,29,272.8210754394531,560.0191650390625,0.4871638195103962,0.009218316854169292
0,0,1,2,key,92,968,30,318.4988708496094,574.6697998046875,0.5542293521564152,0.012563528055170692
0,0,1,2,key,92,968,31,295.2191467285156,585.0480346679688,0.5046066805370268,0.010794060670620205
0,0,1,2,key,92,968,32,304.3103332519531,582.3294677734375,0.5225741613514711,0.011469097054637766
0,0,1,2,key,92,968,33,311.54595947265625,571.471923828125,0.5451640692786787,0.012020984987590855
0,0,1,2,key,92,968,34,304.4358825683594,550.6923217773438,0.5528239100661522,0.011478561899645133
0,0,1,2,key,92,968,35,296.1204833984375,584.86865234375,0.5063025385473994,0.010860072691248156
0,0,1,2,key,92,968,36,299.80401611328125,564.8796997070312,0.5307395827266775,0.011131935898798247
0,0,1,2,key,92,968,37,299.3629455566406,593.2957763671875,0.5045762290601005,0.011099205648127197
0,0,1,2,key,92,968,38,295.4425964355469,590.4529418945312,0.5003660333837736,0.010810406928190687
0,0,1,2,key,92,968,39,271.37298583984375,577.4590454101562,0.469943259174498,0.00912071825970516
0,0,1,2,key,92,968,40,280.2284851074219,596.3767700195312,0.4698849774082313,0.009725688472554913
0,0,1,2,key,92,968,41,292.3052062988281,588.914306640625,0.4963459080595947,0.01058202859738575
0,0,1,2,key,92,968,42,290.9810791015625,604.3204956054688,0.4815012583844737,0.010486373866509822
0,0,1,2,key,92,968,43,296.3739929199219,589.1492309570312,0.5030541963680115,0.010878675340002157
0,0,1,2,key,92,968,44,291.15411376953125,566.9465942382812,0.513547689903155,0.010498848845724705
0,0,1,2,key,92,968,45,288.88873291015625,593.26220703125,0.4869494963378623,0.010336108082979958
0,0,1,2,key,92,968,46,283.7977600097656,588.0892333984375,0.48257601719684734,0.009975019698333734
0,0,1,2,key,92,968,47,287.8808898925781,596.0812377929688,0.48295579803597943,0.010264114497044754
0,0,1,2,key,92,968,48,274.5625305175781,587.5811767578125,0.46727591246638256,0.009336376814138512
0,0,1,2,key,92,968,49,281.2906494140625,597.5850830078125,0.470712300913282,0.009799556256484319
0,0,1,2,key,92,968,50,303.5262451171875,583.9642333984375,0.5197685538903402,0.011410069977386238
0,0,1,2,key,92,968,51,298.63311767578125,596.7738647460938,0.5004125269507883,0.011045153855380668
0,0,1,2,key,92,968,52,295.64263916015625,583.5790405273438,0.5066025655976302,0.010825051216596587
0,0,1,2,key,92,968,53,298.0062255859375,560.6177368164062,0.531567601264691,0.010998830105679919
0,0,1,2,key,92,968,54,291.5200500488281,595.8553466796875,0.4892463442231044,0.010525255976162353
