base_method,example_id,sub_q_idx,doc_len,num_chunks,online_selected,base_selected,residual_size,residual_mapped,nonempty_chunks,nonempty_chunk_frac,top1_chunk_frac,top2_chunk_frac,top3_chunk_frac,entropy_norm,chunks_for_50pct,chunks_for_70pct,chunks_for_80pct,chunks_for_90pct,chunks_for_95pct
freq,114,1,1371,13,229,335,86,86,6,0.46153846153846156,0.32558139534883723,0.6162790697674418,0.7790697674418605,0.6178221056033621,2,3,4,5,5
freq,133,1,1342,13,227,253,81,81,6,0.46153846153846156,0.38271604938271603,0.6666666666666666,0.8518518518518519,0.57696831075356,2,3,3,4,5
freq,161,0,1183,11,200,186,73,73,6,0.5454545454545454,0.3698630136986301,0.6164383561643836,0.7945205479452054,0.651530048090714,2,3,4,5,5
freq,186,1,1723,15,284,287,107,107,10,0.6666666666666666,0.2897196261682243,0.4672897196261682,0.6074766355140186,0.74664269097924,3,4,6,7,8
freq,85,0,2087,14,343,298,149,149,12,0.8571428571428571,0.24161073825503357,0.48322147651006714,0.5973154362416108,0.7921625048714409,3,5,6,8,9
freq,13,0,1167,11,196,142,69,69,8,0.7272727272727273,0.36231884057971014,0.5217391304347826,0.6666666666666666,0.7482546883708581,2,4,5,6,7
freq,59,1,1104,13,205,260,92,92,5,0.38461538461538464,0.5108695652173914,0.6847826086956522,0.8586956521739131,0.4937206254724994,1,3,3,4,4
freq,86,0,878,11,157,145,54,54,8,0.7272727272727273,0.5555555555555556,0.7777777777777778,0.8333333333333334,0.572925855359672,1,2,3,5,6
freq,117,0,1371,11,229,129,113,113,8,0.7272727272727273,0.24778761061946902,0.4690265486725664,0.6194690265486725,0.7791502064440479,3,4,5,6,7
freq,40,0,1115,11,189,146,84,84,6,0.5454545454545454,0.39285714285714285,0.7023809523809523,0.7976190476190477,0.6146989012294086,2,2,4,5,5
freq,135,0,1253,11,210,143,74,74,9,0.8181818181818182,0.35135135135135137,0.527027027027027,0.6891891891891891,0.7421233183983099,2,4,4,5,6
freq,117,1,1052,13,181,285,93,93,3,0.23076923076923078,0.4946236559139785,0.7956989247311828,1.0,0.40315278243800723,2,2,3,3,3
freq,40,1,1546,13,258,295,125,125,6,0.46153846153846156,0.464,0.712,0.92,0.5137959003113902,2,2,3,3,4
freq,86,1,1425,14,242,272,125,125,10,0.7142857142857143,0.272,0.464,0.624,0.7422651700758912,3,4,5,7,7
freq,60,0,1264,11,216,180,81,81,9,0.8181818181818182,0.3950617283950617,0.5308641975308642,0.6666666666666666,0.7468628197768233,2,4,5,6,7
freq,135,1,1274,15,218,307,108,108,5,0.3333333333333333,0.2962962962962963,0.5833333333333334,0.8333333333333334,0.5168430845888063,2,3,3,4,4
freq,118,0,1441,13,237,219,119,119,8,0.6153846153846154,0.31932773109243695,0.5630252100840336,0.773109243697479,0.662981053327651,2,3,4,5,7
freq,88,0,1427,11,238,142,115,115,9,0.8181818181818182,0.30434782608695654,0.5565217391304348,0.7043478260869566,0.7616622250996831,2,3,4,6,7
freq,188,0,891,11,157,87,80,80,9,0.8181818181818182,0.35,0.5375,0.65,0.7685968403395259,2,4,5,6,7
freq,60,1,1996,14,327,288,167,167,9,0.6428571428571429,0.19760479041916168,0.38323353293413176,0.5269461077844312,0.7692646393747815,3,5,6,7,8
freq,43,0,863,11,150,90,60,60,9,0.8181818181818182,0.4166666666666667,0.5333333333333333,0.6166666666666667,0.7760510750941336,2,4,6,7,8
freq,136,0,821,11,147,108,48,48,9,0.8181818181818182,0.6041666666666666,0.7083333333333334,0.7708333333333334,0.6026841179473768,1,2,4,6,7
freq,188,1,1219,13,210,220,112,112,9,0.6923076923076923,0.29464285714285715,0.5267857142857143,0.6875,0.7218036285603,2,4,5,6,7
freq,88,1,982,11,183,100,102,102,10,0.9090909090909091,0.4117647058823529,0.5784313725490197,0.7352941176470589,0.7076720011651468,2,3,4,5,7
freq,43,1,1021,15,178,258,67,67,6,0.4,0.44776119402985076,0.6865671641791045,0.8507462686567164,0.5087357141890284,2,3,3,4,4
freq,88,2,1119,13,194,292,105,105,6,0.46153846153846156,0.29523809523809524,0.5523809523809524,0.7047619047619048,0.6492138695108076,2,3,4,5,6
freq,191,0,1102,11,188,103,91,91,6,0.5454545454545454,0.2967032967032967,0.5934065934065934,0.8241758241758241,0.6326632290469926,2,3,3,4,5
freq,13,1,2112,14,341,335,201,201,8,0.5714285714285714,0.42786069651741293,0.6616915422885572,0.8159203980099502,0.5490363622107552,2,3,3,4,4
freq,136,1,1415,13,241,249,127,127,8,0.6153846153846154,0.2677165354330709,0.49606299212598426,0.6929133858267716,0.7079167114752043,3,4,4,6,7
freq,191,1,1561,13,257,297,123,123,4,0.3076923076923077,0.5528455284552846,0.7804878048780488,0.9105691056910569,0.4467105357965775,1,2,3,3,4
freq,89,0,1329,11,224,173,86,86,8,0.7272727272727273,0.3372093023255814,0.5581395348837209,0.7325581395348837,0.7202504883243576,2,3,4,5,6
freq,161,1,1851,15,304,285,127,127,11,0.7333333333333333,0.28346456692913385,0.5354330708661418,0.7559055118110236,0.684645975938294,2,3,4,7,8
freq,44,0,1024,11,175,168,62,62,9,0.8181818181818182,0.41935483870967744,0.5645161290322581,0.6935483870967742,0.7387249557724709,2,4,5,6,7
