example_id,chunk_id,method,rate,chunk_len,selected_count
5,3,offline32b_top2_mean_global,0.15,550,55
5,4,offline32b_top2_mean_global,0.15,365,32
5,5,offline32b_top2_mean_global,0.15,614,112
5,6,offline32b_top2_mean_global,0.15,322,38
5,7,offline32b_top2_mean_global,0.15,430,78
5,8,offline32b_top2_mean_global,0.15,967,85
5,9,offline32b_top2_mean_global,0.15,966,141
5,0,offline32b_freq_boundary0p02_global,0.15,637,106
5,1,offline32b_freq_boundary0p02_global,0.15,145,43
5,2,offline32b_freq_boundary0p02_global,0.15,41,34
5,3,offline32b_freq_boundary0p02_global,0.15,550,73
5,4,offline32b_freq_boundary0p02_global,0.15,365,40
5,5,offline32b_freq_boundary0p02_global,0.15,614,82
5,6,offline32b_freq_boundary0p02_global,0.15,322,48
5,7,offline32b_freq_boundary0p02_global,0.15,430,91
5,8,offline32b_freq_boundary0p02_global,0.15,967,79
5,9,offline32b_freq_boundary0p02_global,0.15,966,159
6,0,offline32b_mean_score_global,0.15,272,103
6,1,offline32b_mean_score_global,0.15,623,151
6,2,offline32b_mean_score_global,0.15,222,61
6,3,offline32b_mean_score_global,0.15,327,48
6,4,offline32b_mean_score_global,0.15,389,44
6,5,offline32b_mean_score_global,0.15,718,109
6,6,offline32b_mean_score_global,0.15,822,111
6,7,offline32b_mean_score_global,0.15,955,67
6,8,offline32b_mean_score_global,0.15,939,43
6,9,offline32b_mean_score_global,0.15,932,192
6,0,offline32b_top2_mean_global,0.15,272,108
6,1,offline32b_top2_mean_global,0.15,623,158
6,2,offline32b_top2_mean_global,0.15,222,62
6,3,offline32b_top2_mean_global,0.15,327,56
6,4,offline32b_top2_mean_global,0.15,389,39
6,5,offline32b_top2_mean_global,0.15,718,121
6,6,offline32b_top2_mean_global,0.15,822,99
6,7,offline32b_top2_mean_global,0.15,955,66
6,8,offline32b_top2_mean_global,0.15,939,42
6,9,offline32b_top2_mean_global,0.15,932,178
6,0,offline32b_freq_boundary0p02_global,0.15,272,110
6,1,offline32b_freq_boundary0p02_global,0.15,623,153
6,2,offline32b_freq_boundary0p02_global,0.15,222,66
6,3,offline32b_freq_boundary0p02_global,0.15,327,60
6,4,offline32b_freq_boundary0p02_global,0.15,389,45
6,5,offline32b_freq_boundary0p02_global,0.15,718,95
6,6,offline32b_freq_boundary0p02_global,0.15,822,95
6,7,offline32b_freq_boundary0p02_global,0.15,955,67
6,8,offline32b_freq_boundary0p02_global,0.15,939,51
6,9,offline32b_freq_boundary0p02_global,0.15,932,187
7,0,offline32b_mean_score_global,0.15,1046,174
7,1,offline32b_mean_score_global,0.15,331,30
7,2,offline32b_mean_score_global,0.15,306,51
7,3,offline32b_mean_score_global,0.15,979,56
7,4,offline32b_mean_score_global,0.15,326,52
7,5,offline32b_mean_score_global,0.15,875,67
7,6,offline32b_mean_score_global,0.15,958,81
7,7,offline32b_mean_score_global,0.15,966,115
7,8,offline32b_mean_score_global,0.15,74,48
7,9,offline32b_mean_score_global,0.15,313,252
7,0,offline32b_top2_mean_global,0.15,1046,173
7,1,offline32b_top2_mean_global,0.15,331,28
7,2,offline32b_top2_mean_global,0.15,306,53
