example_id,chunk_id,method,chunk_len,selected_count,mean_score_selected
4,18,lexical_idf_entity_boundary_per_chunk,321,48,9.277556546106867
5,0,lexical_entity_number_per_chunk,109,16,4.234375
5,0,lexical_idf_entity_per_chunk,109,16,11.414052817766116
5,0,lexical_idf_entity_boundary_per_chunk,109,16,12.041039246804342
5,1,lexical_entity_number_per_chunk,336,50,4.03
5,1,lexical_idf_entity_per_chunk,336,50,9.924341736780676
5,1,lexical_idf_entity_boundary_per_chunk,336,50,10.227021632284657
5,2,lexical_entity_number_per_chunk,89,13,4.173076923076923
5,2,lexical_idf_entity_per_chunk,89,13,10.603588358541622
5,2,lexical_idf_entity_boundary_per_chunk,89,13,11.305957753765593
5,3,lexical_entity_number_per_chunk,56,8,4.09375
5,3,lexical_idf_entity_per_chunk,56,8,10.034475677806327
5,3,lexical_idf_entity_boundary_per_chunk,56,8,10.725384768715418
5,4,lexical_entity_number_per_chunk,177,26,4.0576923076923075
5,4,lexical_idf_entity_per_chunk,177,26,10.965751641162814
5,4,lexical_idf_entity_boundary_per_chunk,177,26,11.308099766956751
5,5,lexical_entity_number_per_chunk,75,11,4.068181818181818
5,5,lexical_idf_entity_per_chunk,75,11,9.6214994734398
5,5,lexical_idf_entity_boundary_per_chunk,75,11,10.207442799153181
5,6,lexical_entity_number_per_chunk,119,17,4.044117647058823
5,6,lexical_idf_entity_per_chunk,119,17,11.20889482334901
5,6,lexical_idf_entity_boundary_per_chunk,119,17,11.559052538242625
5,7,lexical_entity_number_per_chunk,78,11,4.204545454545454
5,7,lexical_idf_entity_per_chunk,78,11,10.955976858064842
5,7,lexical_idf_entity_boundary_per_chunk,78,11,11.306885948973934
5,8,lexical_entity_number_per_chunk,48,7,4.428571428571429
5,8,lexical_idf_entity_per_chunk,48,7,10.378057624537862
5,8,lexical_idf_entity_boundary_per_chunk,48,7,11.54326037271019
5,9,lexical_entity_number_per_chunk,87,13,4.115384615384615
5,9,lexical_idf_entity_per_chunk,87,13,11.03252331816691
5,9,lexical_idf_entity_boundary_per_chunk,87,13,11.70306879623514
5,10,lexical_entity_number_per_chunk,198,29,4.129310344827586
5,10,lexical_idf_entity_per_chunk,198,29,9.73505205161847
5,10,lexical_idf_entity_boundary_per_chunk,198,29,10.009534810239161
5,11,lexical_entity_number_per_chunk,183,27,3.935185185185185
5,11,lexical_idf_entity_per_chunk,183,27,10.256313392028524
5,11,lexical_idf_entity_boundary_per_chunk,183,27,10.608805122957412
5,12,lexical_entity_number_per_chunk,138,20,4.0375
5,12,lexical_idf_entity_per_chunk,138,20,9.805263492329363
5,12,lexical_idf_entity_boundary_per_chunk,138,20,10.350765779341575
5,13,lexical_entity_number_per_chunk,225,33,4.0227272727272725
5,13,lexical_idf_entity_per_chunk,225,33,9.656143311935304
5,13,lexical_idf_entity_boundary_per_chunk,225,33,9.885462944164214
5,14,lexical_entity_number_per_chunk,270,40,4.0125
5,14,lexical_idf_entity_per_chunk,270,40,9.477697362129458
5,14,lexical_idf_entity_boundary_per_chunk,270,40,9.81917159771227
5,15,lexical_entity_number_per_chunk,161,24,4.15625
5,15,lexical_idf_entity_per_chunk,161,24,10.75971186447635
5,15,lexical_idf_entity_boundary_per_chunk,161,24,10.951890897903061
5,16,lexical_entity_number_per_chunk,50,7,4.107142857142857
5,16,lexical_idf_entity_per_chunk,50,7,8.717369034147591
5,16,lexical_idf_entity_boundary_per_chunk,50,7,9.356540187792335
5,17,lexical_entity_number_per_chunk,162,24,4.125
5,17,lexical_idf_entity_per_chunk,162,24,10.378313095402618
5,17,lexical_idf_entity_boundary_per_chunk,162,24,10.562249451654951
5,18,lexical_entity_number_per_chunk,166,24,4.09375
5,18,lexical_idf_entity_per_chunk,166,24,11.212423338187042
