example_id,chunk_id,method,rate,chunk_len,selected_count,n_queries,score_status,status
154,6,docgen_draft_smart_frequency_global,0.15,257,38,32,ok,
154,6,docgen_draft_smart_frequency_global,0.2,257,51,32,ok,
154,7,docgen_draft_smart_frequency_global,0.1,53,5,32,ok,
154,7,docgen_draft_smart_frequency_global,0.15,53,7,32,ok,
154,7,docgen_draft_smart_frequency_global,0.2,53,10,32,ok,
154,8,docgen_draft_smart_frequency_global,0.1,135,13,32,ok,
154,8,docgen_draft_smart_frequency_global,0.15,135,20,32,ok,
154,8,docgen_draft_smart_frequency_global,0.2,135,27,32,ok,
154,9,docgen_draft_smart_frequency_global,0.1,204,20,32,ok,
154,9,docgen_draft_smart_frequency_global,0.15,204,30,32,ok,
154,9,docgen_draft_smart_frequency_global,0.2,204,40,32,ok,
155,0,docgen_draft_smart_frequency_global,0.1,86,8,32,ok,
155,0,docgen_draft_smart_frequency_global,0.15,86,12,32,ok,
155,0,docgen_draft_smart_frequency_global,0.2,86,17,32,ok,
155,1,docgen_draft_smart_frequency_global,0.1,99,9,32,ok,
155,1,docgen_draft_smart_frequency_global,0.15,99,14,32,ok,
155,1,docgen_draft_smart_frequency_global,0.2,99,19,32,ok,
155,2,docgen_draft_smart_frequency_global,0.1,250,25,32,ok,
155,2,docgen_draft_smart_frequency_global,0.15,250,37,32,ok,
155,2,docgen_draft_smart_frequency_global,0.2,250,50,32,ok,
155,3,docgen_draft_smart_frequency_global,0.1,150,15,32,ok,
155,3,docgen_draft_smart_frequency_global,0.15,150,22,32,ok,
155,3,docgen_draft_smart_frequency_global,0.2,150,30,32,ok,
155,4,docgen_draft_smart_frequency_global,0.1,106,10,32,ok,
155,4,docgen_draft_smart_frequency_global,0.15,106,15,32,ok,
155,4,docgen_draft_smart_frequency_global,0.2,106,21,32,ok,
155,5,docgen_draft_smart_frequency_global,0.1,121,12,32,ok,
155,5,docgen_draft_smart_frequency_global,0.15,121,18,32,ok,
155,5,docgen_draft_smart_frequency_global,0.2,121,24,32,ok,
155,6,docgen_draft_smart_frequency_global,0.1,112,11,32,ok,
155,6,docgen_draft_smart_frequency_global,0.15,112,16,32,ok,
155,6,docgen_draft_smart_frequency_global,0.2,112,22,32,ok,
155,7,docgen_draft_smart_frequency_global,0.1,172,17,32,ok,
155,7,docgen_draft_smart_frequency_global,0.15,172,25,32,ok,
155,7,docgen_draft_smart_frequency_global,0.2,172,34,32,ok,
155,8,docgen_draft_smart_frequency_global,0.1,43,4,32,ok,
155,8,docgen_draft_smart_frequency_global,0.15,43,6,32,ok,
155,8,docgen_draft_smart_frequency_global,0.2,43,8,32,ok,
155,9,docgen_draft_smart_frequency_global,0.1,124,12,32,ok,
155,9,docgen_draft_smart_frequency_global,0.15,124,18,32,ok,
155,9,docgen_draft_smart_frequency_global,0.2,124,24,32,ok,
155,10,docgen_draft_smart_frequency_global,0.1,122,12,32,ok,
155,10,docgen_draft_smart_frequency_global,0.15,122,18,32,ok,
155,10,docgen_draft_smart_frequency_global,0.2,122,24,32,ok,
155,11,docgen_draft_smart_frequency_global,0.1,254,25,32,ok,
155,11,docgen_draft_smart_frequency_global,0.15,254,38,32,ok,
155,11,docgen_draft_smart_frequency_global,0.2,254,50,32,ok,
155,12,docgen_draft_smart_frequency_global,0.1,62,6,32,ok,
155,12,docgen_draft_smart_frequency_global,0.15,62,9,32,ok,
155,12,docgen_draft_smart_frequency_global,0.2,62,12,32,ok,
155,13,docgen_draft_smart_frequency_global,0.1,130,13,32,ok,
155,13,docgen_draft_smart_frequency_global,0.15,130,19,32,ok,
155,13,docgen_draft_smart_frequency_global,0.2,130,26,32,ok,
155,14,docgen_draft_smart_frequency_global,0.1,151,15,32,ok,
155,14,docgen_draft_smart_frequency_global,0.15,151,22,32,ok,
155,14,docgen_draft_smart_frequency_global,0.2,151,30,32,ok,
155,15,docgen_draft_smart_frequency_global,0.1,141,14,32,ok,
155,15,docgen_draft_smart_frequency_global,0.15,141,21,32,ok,
155,15,docgen_draft_smart_frequency_global,0.2,141,28,32,ok,
155,16,docgen_draft_smart_frequency_global,0.1,72,7,32,ok,
155,16,docgen_draft_smart_frequency_global,0.15,72,10,32,ok,
155,16,docgen_draft_smart_frequency_global,0.2,72,14,32,ok,
155,17,docgen_draft_smart_frequency_global,0.1,169,16,32,ok,
155,17,docgen_draft_smart_frequency_global,0.15,169,25,32,ok,
155,17,docgen_draft_smart_frequency_global,0.2,169,33,32,ok,
155,18,docgen_draft_smart_frequency_global,0.1,140,14,32,ok,
155,18,docgen_draft_smart_frequency_global,0.15,140,21,32,ok,
