example_id,sub_idx,doc_len,query_len,selected_count,key_relative_l2,value_relative_l2,value_over_key_relative_l2,key_cosine,value_cosine,key_token_rel_mean,value_token_rel_mean,key_token_rel_p90,value_token_rel_p90,key_diff_norm,value_diff_norm
38,0,1864,28,160,0.16863831877708435,0.8782261610031128,5.207749741378731,0.9861057996749878,0.6493085026741028,0.16803383827209473,0.9250229597091675,0.18688887357711792,1.5481683015823364,2427.150146484375,1630.1622314453125
38,1,2083,50,193,0.16887813806533813,0.8533082604408264,5.052804763311831,0.9862802028656006,0.6659365296363831,0.16821308434009552,0.8976254463195801,0.1862947940826416,1.5555449724197388,2668.1787109375,1805.8577880859375
39,0,1601,24,121,0.17404118180274963,0.9581820964813232,5.505490634749756,0.9851483106613159,0.598114013671875,0.17357225716114044,1.0574952363967896,0.1877012848854065,1.760216236114502,2177.3408203125,1542.8228759765625
39,1,1784,26,148,0.17419672012329102,1.0495089292526245,6.024848966753162,0.9851449728012085,0.5249571800231934,0.17368857562541962,1.1464080810546875,0.18925981223583221,1.7990580797195435,2410.77197265625,1757.0360107421875
40,0,1757,34,144,0.16917623579502106,0.8647315502166748,5.111424463062872,0.9859759211540222,0.6590795516967773,0.1686141937971115,0.9014479517936707,0.18663552403450012,1.5898548364639282,2309.14453125,1557.56689453125
40,1,2147,30,203,0.1684262901544571,0.8509013056755066,5.0520693942146835,0.9863658547401428,0.6613260507583618,0.16782574355602264,0.8914165496826172,0.18636542558670044,1.6624494791030884,2729.271484375,1847.3731689453125
41,0,1881,22,163,0.1687462329864502,0.8669871687889099,5.137816432639349,0.9860873818397522,0.6601611375808716,0.1681806743144989,0.9135348796844482,0.18738698959350586,1.6643742322921753,2451.81298828125,1632.1949462890625
41,1,2307,27,227,0.17059838771820068,0.9029650688171387,5.2929285023689046,0.9860345125198364,0.6341971158981323,0.16997362673282623,0.9748868346214294,0.1890033483505249,1.6431291103363037,2924.758544921875,1962.3287353515625
44,0,1630,21,125,0.17155730724334717,0.9685419201850891,5.645588262851466,0.9855793714523315,0.5907759666442871,0.1710861772298813,1.0412871837615967,0.18785928189754486,1.654762625694275,2181.727294921875,1515.97900390625
44,1,1783,26,148,0.17537513375282288,0.9848574995994568,5.61571916450777,0.9849451780319214,0.5605286359786987,0.17482110857963562,1.0604689121246338,0.19106779992580414,1.7187583446502686,2426.524658203125,1762.8385009765625
45,0,1790,22,149,0.17289301753044128,0.9191420078277588,5.3162471275660925,0.9853630065917969,0.6244601011276245,0.17248673737049103,1.0016072988510132,0.18698738515377045,1.7085695266723633,2401.308349609375,1633.4923095703125
45,1,1899,26,166,0.16969230771064758,0.8656807541847229,5.101473165511692,0.985939621925354,0.6624026894569397,0.16915445029735565,0.9254143834114075,0.1859128475189209,1.5290294885635376,2488.55126953125,1642.7589111328125
45,2,2395,23,240,0.16903826594352722,0.8060742616653442,4.768590455902282,0.9863353967666626,0.694023609161377,0.16844965517520905,0.8566977977752686,0.1850886195898056,1.435932993888855,2980.834228515625,1918.514404296875
46,0,2330,23,230,0.1662559062242508,0.8026157021522522,4.827592116125085,0.9867844581604004,0.6971687078475952,0.16571949422359467,0.8455853462219238,0.18336820602416992,1.55911123752594,2868.751708984375,1822.104248046875
46,1,2612,30,273,0.17004084587097168,0.8700010180473328,5.116423725052391,0.9861853122711182,0.6478747725486755,0.16953745484352112,0.921637237071991,0.18740437924861908,1.5239639282226562,3197.173095703125,2162.0908203125
47,0,2312,28,228,0.1682232916355133,0.8446717858314514,5.021134574257214,0.9864315390586853,0.6699405312538147,0.16764423251152039,0.8737527132034302,0.18605346977710724,1.4163540601730347,2890.309814453125,1901.33349609375
47,1,2728,30,290,0.16938363015651703,0.8629487156867981,5.094640579401359,0.9863131046295166,0.6549304723739624,0.16872678697109222,0.9057708978652954,0.18950295448303223,1.4977805614471436,3281.52587890625,2164.02294921875
51,0,2464,22,250,0.16841256618499756,0.8506406545639038,5.050933394272032,0.9864398837089539,0.6739528775215149,0.16785888373851776,0.8966276049613953,0.18644171953201294,1.5448777675628662,3031.994140625,1904.565673828125
51,1,2713,23,288,0.16554777324199677,0.7752265930175781,4.682796861783659,0.9869359731674194,0.722824215888977,0.16507242619991302,0.7903425693511963,0.1813868135213852,1.387657642364502,3198.73046875,1878.8836669921875
51,2,2713,23,288,0.16554777324199677,0.7752265930175781,4.682796861783659,0.9869359731674194,0.722824215888977,0.16507242619991302,0.7903425693511963,0.1813868135213852,1.387657642364502,3198.73046875,1878.8836669921875
51,3,3621,23,424,0.16997405886650085,0.8641096949577332,5.083773963598344,0.9868390560150146,0.6695808172225952,0.1694788634777069,0.9123509526252747,0.18512830138206482,1.481363296508789,3983.120849609375,2534.857177734375
52,0,1860,27,160,0.1725117266178131,0.9567330479621887,5.545901526313128,0.9854447245597839,0.5925895571708679,0.1720525324344635,1.0231302976608276,0.19092553853988647,1.5741599798202515,2483.128662109375,1822.5775146484375
52,1,2325,31,229,0.17100363969802856,0.8643937706947327,5.0548267406243,0.9859843254089355,0.6505885720252991,0.1704307496547699,0.9123691916465759,0.18768776953220367,1.6718209981918335,2943.684814453125,2040.0357666015625
53,0,1860,27,160,0.1725117266178131,0.9567330479621887,5.545901526313128,0.9854447245597839,0.5925895571708679,0.1720525324344635,1.0231302976608276,0.19092553853988647,1.5741599798202515,2483.128662109375,1822.5775146484375
53,1,2130,31,200,0.16752873361110687,0.7974897623062134,4.760316305814783,0.9864997863769531,0.7020187377929688,0.1670258343219757,0.8446060419082642,0.18142713606357574,1.5213913917541504,2695.86181640625,1769.44384765625
53,2,2520,33,259,0.17236927151679993,0.838114857673645,4.862321748497359,0.9857891798019409,0.6670240759849548,0.17189811170101166,0.882952868938446,0.18733032047748566,1.4189826250076294,3156.397705078125,2157.1171875
54,0,2207,27,212,0.17023099958896637,0.9145315885543823,5.37229758831943,0.9860571622848511,0.6220943927764893,0.16967949271202087,0.9677700400352478,0.18762154877185822,1.665972113609314,2820.037841796875,1972.677734375
55,0,1769,30,146,0.17407508194446564,0.9628081917762756,5.530993758646656,0.9851439595222473,0.5831998586654663,0.1736401617527008,1.035454273223877,0.19013047218322754,1.6938223838806152,2392.951416015625,1777.432861328125
55,1,2586,32,269,0.16949911415576935,0.8241258263587952,4.862124681056227,0.9862866401672363,0.68113774061203,0.16887550055980682,0.8685212135314941,0.18778911232948303,1.4073301553726196,3162.63037109375,2101.385498046875
56,0,2286,33,224,0.17046846449375153,0.880725085735321,5.166498615129118,0.9860345125198364,0.6452734470367432,0.16988328099250793,0.9334549307823181,0.1883973926305771,1.5452114343643188,2902.8115234375,2064.31787109375
57,0,2083,22,193,0.1664930135011673,0.8083531260490417,4.855177457872844,0.9866696000099182,0.6959518194198608,0.16593225300312042,0.8449057936668396,0.18370799720287323,1.4301702976226807,2631.305419921875,1678.0633544921875
