source,kind,method,n,original_gap,recovery,final_error,explained_delta_energy,cosine,original_gap_mean
preprocess,v,position_top4,50,0.4750206719409111,0.6076322203467311,0.28863786560205196,0.6307830847965017,0.8058432042111994,0.4810237610264751
preprocess,v,position_top8,50,0.4750206719409111,0.5855599247731447,0.27815306892740854,0.6571195744996692,0.8175619623208227,0.4810237610264751
preprocess,v,random_anchor,50,0.4750206719409111,0.7488996155602131,0.35574279859970237,0.43914936581376507,0.7202542460954875,0.4810237610264751
raw,k,cached_v_top1,50,0.24188733811396312,0.7045132342289544,0.1704128308937008,0.5036611027962583,0.7608712876374861,0.2297581283568588
raw,k,cached_v_top2,50,0.24188733811396312,0.6792655720790781,0.16430574110266655,0.5385982825880827,0.7728242859361151,0.2297581283568588
raw,k,cached_v_top4,50,0.24188733811396312,0.7034586859681932,0.17015774902199254,0.505145877135903,0.7600500101839172,0.2297581283568588
raw,k,cached_v_top8,50,0.24188733811396312,0.7008515740242434,0.1695271216537054,0.5088070711877406,0.7598903123105112,0.2297581283568588
raw,k,hybrid_top1,50,0.24188733811396312,0.6628621576926723,0.16033796286075858,0.5606137598990149,0.7822236093185013,0.2297581283568588
raw,k,hybrid_top2,50,0.24188733811396312,0.6334442404197812,0.15322214115876218,0.5987483942790064,0.7966772665547426,0.2297581283568588
raw,k,hybrid_top4,50,0.24188733811396312,0.6332254708588687,0.1531692235720127,0.599025503055564,0.7951841204255882,0.2297581283568588
raw,k,hybrid_top8,50,0.24188733811396312,0.6408733884988423,0.15501915801206073,0.5892812999140118,0.7900768874400155,0.2297581283568588
raw,k,mean_anchor,50,0.24188733811396312,0.6764533888655367,0.16362550959085428,0.5424108126923308,0.7623440516018729,0.2297581283568588
raw,k,no_update,50,0.24188733811396312,1.0,0.24188733811396312,0.0,0.0,0.2297581283568588
raw,k,oracle_anchor,50,0.24188733811396312,0.5775697142878522,0.13970680076433079,0.6664132251374487,0.8306645133897809,0.2297581283568588
raw,k,position_top1,50,0.24188733811396312,0.7008994260841556,0.16953869646110084,0.5087399945149014,0.7617286686318966,0.2297581283568588
raw,k,position_top2,50,0.24188733811396312,0.660504929099775,0.1597677791110965,0.5637332386349012,0.7787801048962215,0.2297581283568588
raw,k,position_top4,50,0.24188733811396312,0.6377031607850507,0.15425232006915657,0.5933346787247558,0.7899296678997934,0.2297581283568588
raw,k,position_top8,50,0.24188733811396312,0.6230421147599666,0.15070599867218268,0.6118185232354285,0.7969752055891361,0.2297581283568588
raw,k,random_anchor,50,0.24188733811396312,0.809079356288282,0.1957060518155313,0.3453905952281392,0.6906085770510313,0.2297581283568588
raw,v,cached_v_top1,50,0.3724028410015181,0.8441426195785768,0.3143611097415257,0.2874232378110182,0.6511612950070914,0.35533575578870447
raw,v,cached_v_top2,50,0.3724028410015181,0.811071638581192,0.3020453824633924,0.34216279708922015,0.6673355220108257,0.35533575578870447
raw,v,cached_v_top4,50,0.3724028410015181,0.8176641976607049,0.30450047019407334,0.3314252598638757,0.6627036602778212,0.35533575578870447
raw,v,cached_v_top8,50,0.3724028410015181,0.7989998564563473,0.29754981650414886,0.3615992293827365,0.6710895311201152,0.35533575578870447
raw,v,hybrid_top1,50,0.3724028410015181,0.8186836143811465,0.3048801038769302,0.32975713954382224,0.6644986199488365,0.35533575578870447
raw,v,hybrid_top2,50,0.3724028410015181,0.7716360024124269,0.28735943951744203,0.40457787978096915,0.6887725934857758,0.35533575578870447
raw,v,hybrid_top4,50,0.3724028410015181,0.7569441446980789,0.28188814996502876,0.42703556180729385,0.6961913363388849,0.35533575578870447
raw,v,hybrid_top8,50,0.3724028410015181,0.7497935126362221,0.2792252342702367,0.43780968840863554,0.6990874345093437,0.35533575578870447
raw,v,mean_anchor,50,0.3724028410015181,0.7580218077140114,0.2822894747338043,0.4254029390299824,0.6852144118691613,0.35533575578870447
raw,v,no_update,50,0.3724028410015181,1.0,0.3724028410015181,0.0,0.0,0.35533575578870447
raw,v,oracle_anchor,50,0.3724028410015181,0.720064374215502,0.2681540186618332,0.48150729698563755,0.7263589795766664,0.35533575578870447
raw,v,position_top1,50,0.3724028410015181,0.8664977974989008,0.32268624151014874,0.24918156692955395,0.6283460440915146,0.35533575578870447
raw,v,position_top2,50,0.3724028410015181,0.8036259970984212,0.2992726044221298,0.3541852567875683,0.6638677616126702,0.35533575578870447
raw,v,position_top4,50,0.3724028410015181,0.763149371769199,0.2841989941553734,0.4176030363682769,0.6877640149736861,0.35533575578870447
raw,v,position_top8,50,0.3724028410015181,0.7354279218554409,0.2738754474508086,0.4591457717553875,0.7046312048332656,0.35533575578870447
raw,v,random_anchor,50,0.3724028410015181,0.9319155493339849,0.34704799814546633,0.13153340890953724,0.586729685810305,0.35533575578870447
